population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,known_count,variant,position,year,sex,count,unknown_excluded,per,unit,script
19960889.0,32.17792554229423,31.395749342786225,32.974662777585074,43.79544313749086,42.72583791050646,44.88568560583531,6421.0,sin_rett,any,2023,TOTAL,6423,2,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
20086377.0,43.46727137502199,42.56024022212886,44.38876396079313,59.338552546878525,58.09403819486775,60.60363900352334,8724.0,sin_rett,any,2024,TOTAL,8731,7,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9424139.0,2.005488246724714,1.7297520450937507,2.312684168995163,2.4397239441226852,2.102581173759694,2.817180822667426,189.0,sin_rett,principal,2019,HOMBRE,189,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9599101.0,1.2917876371964416,1.0744421223515368,1.540189170729562,1.6075205774646215,1.3360073565652946,1.9198307779902832,124.0,sin_rett,principal,2020,HOMBRE,124,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9708512.0,1.5450359437161947,1.307678883244362,1.8130189888736243,1.8791280566920625,1.587924009132455,2.210620524030854,150.0,sin_rett,principal,2021,HOMBRE,150,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9782978.0,2.2999131757221574,2.009192333097499,2.620880288512667,2.8774385765470445,2.511214704239596,3.284106511994021,225.0,sin_rett,principal,2022,HOMBRE,225,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9848466.0,2.629851186976733,2.319294511141996,2.970408832265088,3.3501695318385045,2.9526804799134205,3.788130321308506,259.0,sin_rett,principal,2023,HOMBRE,259,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9910500.0,2.6537510720952526,2.3426892161798585,2.9946215077257388,3.363082255163196,2.9655772748099083,3.800920205843723,261.0,sin_rett,principal,2024,HOMBRE,263,2,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9683077.0,0.4027645344553183,0.28640495670370564,0.550592377462586,0.5326902657648896,0.37828691919186874,0.7307302515266859,39.0,sin_rett,principal,2019,MUJER,39,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9859209.0,0.3347124500555775,0.2304006495118405,0.4700607246399716,0.4402913560592065,0.302623188642865,0.6214952426738085,33.0,sin_rett,principal,2020,MUJER,33,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
9969851.0,0.3610886461593057,0.25290204855935383,0.49989889005599175,0.4979004175226572,0.3481725694772239,0.6920838631787537,36.0,sin_rett,principal,2021,MUJER,36,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
10045585.0,0.6968235299387741,0.5432081268332853,0.8803946094930155,0.9339760467670419,0.7270531963190331,1.1838278977560721,70.0,sin_rett,principal,2022,MUJER,70,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
10112423.0,1.0086603378834134,0.8224419626610507,1.2244448299831674,1.371969626086956,1.1173095391872099,1.6693560842984119,102.0,sin_rett,principal,2023,MUJER,102,0,100000.0,"GRD episodes with documented F84 (observed panel, all activity) per 100,000 INE resident population (base 2017, 30 June); crude with exact Poisson limits, WHO-standardised with Fay-Feuer limits",lancet_americas/pipeline/06_models.py
