year,series,module,code,variant,identical_across_variants,indicator,era,era_start,era_end,domain,setting,unit,measure,month,aggregation_rule,total,total_dedup,n_reporting_establishments,n_establishments_value_gt0,n_rows,n_rows_value,n_rows_zero,n_rows_empty,n_rows_exact_duplicate,months_covered,n_stable_panel_establishments,stable_panel_total,comparability_warning,note,source_file,script
2019,P,P6,P6223380,broad_pre2021,True,P6 población bajo control en especialidad: TGD amplio (pre-2021),2019–2020,2019,2020,follow_up,specialty,people in stock,december_stock,12,stock MES=12; COL01 summed over the family codes; never summed with the other semester,6624.0,6624.0,111,111,111,111,0,0,0,1,104,6087.0,Family sum over separately reported categories; establishments counted once if they report any family code; broad pre-2021 category cannot isolate autism,,REM/SerieP/SerieP_2019.csv,lancet_americas/pipeline/02_rem_pathway.py
2020,P,P6,P6223380,broad_pre2021,True,P6 población bajo control en especialidad: TGD amplio (pre-2021),2019–2020,2019,2020,follow_up,specialty,people in stock,december_stock,12,stock MES=12; COL01 summed over the family codes; never summed with the other semester,6905.0,6905.0,121,121,121,121,0,0,0,1,104,6250.0,Family sum over separately reported categories; establishments counted once if they report any family code; broad pre-2021 category cannot isolate autism,,REM/SerieP/SerieP_2020.csv,lancet_americas/pipeline/02_rem_pathway.py
2019,P,P6,P6223380,broad_pre2021,True,P6 población bajo control en especialidad: TGD amplio (pre-2021),2019–2020,2019,2020,follow_up,specialty,people in stock,june_stock,06,stock MES=06; COL01 summed over the family codes; never summed with the other semester,6221.0,6221.0,109,109,109,109,0,0,0,1,91,5118.0,Family sum over separately reported categories; establishments counted once if they report any family code; broad pre-2021 category cannot isolate autism,,REM/SerieP/SerieP_2019.csv,lancet_americas/pipeline/02_rem_pathway.py
2020,P,P6,P6223380,broad_pre2021,True,P6 población bajo control en especialidad: TGD amplio (pre-2021),2019–2020,2019,2020,follow_up,specialty,people in stock,june_stock,06,stock MES=06; COL01 summed over the family codes; never summed with the other semester,5543.0,5543.0,105,105,105,105,0,0,0,1,91,5042.0,Family sum over separately reported categories; establishments counted once if they report any family code; broad pre-2021 category cannot isolate autism,,REM/SerieP/SerieP_2020.csv,lancet_americas/pipeline/02_rem_pathway.py
2019,P,P6,P6223000,single_code,True,Pervasive developmental disorders under control in primary care,2019–2020,2019,2020,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,5520.0,5520.0,727,727,727,727,0,0,0,1,594,4837.0,Broad pre-2021 category; taxonomic break in 2021,,REM/SerieP/SerieP_2019.csv,lancet_americas/pipeline/02_rem_pathway.py
2020,P,P6,P6223000,single_code,True,Pervasive developmental disorders under control in primary care,2019–2020,2019,2020,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,5185.0,5185.0,695,694,695,694,1,0,0,1,594,4752.0,Broad pre-2021 category; taxonomic break in 2021,,REM/SerieP/SerieP_2020.csv,lancet_americas/pipeline/02_rem_pathway.py
2019,P,P6,P6223000,single_code,True,Pervasive developmental disorders under control in primary care,2019–2020,2019,2020,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,4864.0,4864.0,707,707,707,707,0,0,0,1,44,614.0,Broad pre-2021 category; taxonomic break in 2021,,REM/SerieP/SerieP_2019.csv,lancet_americas/pipeline/02_rem_pathway.py
2020,P,P6,P6223000,single_code,True,Pervasive developmental disorders under control in primary care,2019–2020,2019,2020,follow_up,primary_care,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,725.0,725.0,53,53,53,53,0,0,0,1,44,656.0,Broad pre-2021 category; taxonomic break in 2021,,REM/SerieP/SerieP_2020.csv,lancet_americas/pipeline/02_rem_pathway.py
2019,P,P6,P6223380,single_code,True,Pervasive developmental disorders under control in specialty care,2019–2020,2019,2020,follow_up,specialty,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,6624.0,6624.0,111,111,111,111,0,0,0,1,104,6087.0,Broad pre-2021 category; taxonomic break in 2021,,REM/SerieP/SerieP_2019.csv,lancet_americas/pipeline/02_rem_pathway.py
2020,P,P6,P6223380,single_code,True,Pervasive developmental disorders under control in specialty care,2019–2020,2019,2020,follow_up,specialty,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,6905.0,6905.0,121,121,121,121,0,0,0,1,104,6250.0,Broad pre-2021 category; taxonomic break in 2021,,REM/SerieP/SerieP_2020.csv,lancet_americas/pipeline/02_rem_pathway.py
2019,P,P6,P6223380,single_code,True,Pervasive developmental disorders under control in specialty care,2019–2020,2019,2020,follow_up,specialty,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,6221.0,6221.0,109,109,109,109,0,0,0,1,91,5118.0,Broad pre-2021 category; taxonomic break in 2021,,REM/SerieP/SerieP_2019.csv,lancet_americas/pipeline/02_rem_pathway.py
2020,P,P6,P6223380,single_code,True,Pervasive developmental disorders under control in specialty care,2019–2020,2019,2020,follow_up,specialty,people in stock,june_stock,06,stock MES=06; COL01; never summed with the other semester,5543.0,5543.0,105,105,105,105,0,0,0,1,91,5042.0,Broad pre-2021 category; taxonomic break in 2021,,REM/SerieP/SerieP_2020.csv,lancet_americas/pipeline/02_rem_pathway.py
2021,P,P6,P6241010,single_code,True,Autism under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,2257.0,2257.0,482,475,482,475,7,0,0,1,353,1853.0,Strict series begins in 2021,,REM/SerieP/SerieP_2021.csv,lancet_americas/pipeline/02_rem_pathway.py
2022,P,P6,P6241010,single_code,True,Autism under control in primary care,2021–2025,2021,2025,follow_up,primary_care,people in stock,december_stock,12,stock MES=12; COL01; never summed with the other semester,5042.0,5042.0,704,702,704,702,2,0,0,1,353,3629.0,Strict series begins in 2021,,REM/SerieP/SerieP_2022.csv,lancet_americas/pipeline/02_rem_pathway.py
