year,variant,position,panel,activity,n_episodes_cell,n_invalid_dates,n_valid_dates,mean_days,sd_days,median_days,q25_days,q75_days,p90_days,max_days,total_days,n_los_zero,unit,denominator,script
2019,strict_autism_f840,any,fixed65,other,187,0,187,0.7861,2.3776,0.0,0.0,0.0,2.0,22.0,147.0,146,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,any,observed,all,1400,0,1400,6.8486,22.3265,2.0,0.0,5.0,15.1,557.0,9588.0,430,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,any,observed,cma,102,0,102,0.0098,0.099,0.0,0.0,0.0,0.0,1.0,1.0,101,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,any,observed,hospitalisation,1111,0,1111,8.4968,24.7811,3.0,1.0,7.0,21.0,557.0,9440.0,183,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,any,observed,other,187,0,187,0.7861,2.3776,0.0,0.0,0.0,2.0,22.0,147.0,146,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,principal,fixed65,all,150,0,150,11.6867,21.4057,3.0,1.0,15.5,30.1,196.0,1753.0,27,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,principal,fixed65,cma,1,0,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,principal,fixed65,hospitalisation,133,0,133,12.8271,22.4065,4.0,1.0,18.0,31.8,196.0,1706.0,19,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,principal,fixed65,other,16,0,16,2.9375,5.5794,1.0,0.0,2.25,7.0,22.0,47.0,7,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,principal,observed,all,150,0,150,11.6867,21.4057,3.0,1.0,15.5,30.1,196.0,1753.0,27,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,principal,observed,cma,1,0,1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,principal,observed,hospitalisation,133,0,133,12.8271,22.4065,4.0,1.0,18.0,31.8,196.0,1706.0,19,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,principal,observed,other,16,0,16,2.9375,5.5794,1.0,0.0,2.25,7.0,22.0,47.0,7,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,secondary_only,fixed65,all,1250,0,1250,6.268,22.3725,2.0,0.0,5.0,13.0,557.0,7835.0,403,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,secondary_only,fixed65,cma,101,0,101,0.0099,0.0995,0.0,0.0,0.0,0.0,1.0,1.0,100,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,secondary_only,fixed65,hospitalisation,978,0,978,7.908,25.0393,3.0,1.0,6.0,16.3,557.0,7734.0,164,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,secondary_only,fixed65,other,171,0,171,0.5848,1.721,0.0,0.0,0.0,2.0,11.0,100.0,139,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,secondary_only,observed,all,1250,0,1250,6.268,22.3725,2.0,0.0,5.0,13.0,557.0,7835.0,403,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,secondary_only,observed,cma,101,0,101,0.0099,0.0995,0.0,0.0,0.0,0.0,1.0,1.0,100,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,secondary_only,observed,hospitalisation,978,0,978,7.908,25.0393,3.0,1.0,6.0,16.3,557.0,7734.0,164,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2019,strict_autism_f840,secondary_only,observed,other,171,0,171,0.5848,1.721,0.0,0.0,0.0,2.0,11.0,100.0,139,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,all_episodes,all,fixed65,all,781912,10,781902,6.5917,16.1247,3.0,1.0,7.0,15.0,3433.0,5154059.0,109087,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,all_episodes,all,fixed65,cma,79637,5,79632,0.1006,3.718,0.0,0.0,0.0,0.0,945.0,8008.0,74516,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,all_episodes,all,fixed65,hospitalisation,702275,5,702270,7.3277,16.8108,3.0,2.0,8.0,16.0,3433.0,5146051.0,34571,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,all_episodes,all,fixed65,other,0,0,0,,,,,,,,0.0,0,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,all_episodes,all,observed,all,781912,10,781902,6.5917,16.1247,3.0,1.0,7.0,15.0,3433.0,5154059.0,109087,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,all_episodes,all,observed,cma,79637,5,79632,0.1006,3.718,0.0,0.0,0.0,0.0,945.0,8008.0,74516,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,all_episodes,all,observed,hospitalisation,702275,5,702270,7.3277,16.8108,3.0,2.0,8.0,16.0,3433.0,5146051.0,34571,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,all_episodes,all,observed,other,0,0,0,,,,,,,,0.0,0,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,any,fixed65,all,1633,0,1633,12.2737,60.6829,3.0,1.0,9.0,22.0,1463.0,20043.0,245,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,any,fixed65,cma,83,0,83,0.0482,0.2155,0.0,0.0,0.0,0.0,1.0,4.0,79,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,any,fixed65,hospitalisation,1550,0,1550,12.9284,62.2197,4.0,1.0,9.0,23.0,1463.0,20039.0,166,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,any,observed,all,1633,0,1633,12.2737,60.6829,3.0,1.0,9.0,22.0,1463.0,20043.0,245,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,any,observed,cma,83,0,83,0.0482,0.2155,0.0,0.0,0.0,0.0,1.0,4.0,79,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
2020,con_rett,any,observed,hospitalisation,1550,0,1550,12.9284,62.2197,4.0,1.0,9.0,23.0,1463.0,20039.0,166,días de estadía por episodio,n_valid_dates,lancet_americas/pipeline/11_grd_episode_detail.py
