year,category,panel,n_episodes,sex,age_group
2019,F89,observed,1,HOMBRE,55-59
2020,F80,observed,564,,
2020,F80,fixed65,564,,
2020,F80,observed,148,HOMBRE,0-4
2020,F80,observed,38,HOMBRE,10-14
2020,F80,observed,9,HOMBRE,15-19
2020,F80,observed,1,HOMBRE,20-24
2020,F80,observed,5,HOMBRE,25-29
2020,F80,observed,2,HOMBRE,35-39
2020,F80,observed,3,HOMBRE,45-49
2020,F80,observed,124,HOMBRE,5-9
2020,F80,observed,3,HOMBRE,50-54
2020,F80,observed,8,HOMBRE,55-59
2020,F80,observed,10,HOMBRE,60-64
2020,F80,observed,4,HOMBRE,65-69
2020,F80,observed,7,HOMBRE,70-74
2020,F80,observed,5,HOMBRE,80+
2020,F80,observed,73,MUJER,0-4
2020,F80,observed,16,MUJER,10-14
2020,F80,observed,4,MUJER,15-19
2020,F80,observed,1,MUJER,25-29
2020,F80,observed,1,MUJER,35-39
2020,F80,observed,3,MUJER,40-44
2020,F80,observed,2,MUJER,45-49
2020,F80,observed,52,MUJER,5-9
2020,F80,observed,4,MUJER,55-59
2020,F80,observed,4,MUJER,60-64
2020,F80,observed,4,MUJER,65-69
2020,F80,observed,2,MUJER,70-74
2020,F80,observed,4,MUJER,75-79
2020,F80,observed,7,MUJER,80+
2020,F81,observed,93,,
2020,F81,fixed65,93,,
2020,F81,observed,27,HOMBRE,10-14
2020,F81,observed,6,HOMBRE,15-19
2020,F81,observed,7,HOMBRE,5-9
2020,F81,observed,1,MUJER,0-4
2020,F81,observed,22,MUJER,10-14
2020,F81,observed,6,MUJER,15-19
2020,F81,observed,1,MUJER,25-29
2020,F81,observed,1,MUJER,40-44
2020,F81,observed,12,MUJER,5-9
2020,F82,observed,300,,
2020,F82,fixed65,300,,
2020,F82,observed,108,HOMBRE,0-4
2020,F82,observed,17,HOMBRE,10-14
2020,F82,observed,15,HOMBRE,15-19
2020,F82,observed,3,HOMBRE,20-24
2020,F82,observed,22,HOMBRE,5-9
2020,F82,observed,1,HOMBRE,50-54
2020,F82,observed,86,MUJER,0-4
2020,F82,observed,9,MUJER,10-14
2020,F82,observed,1,MUJER,25-29
2020,F82,observed,31,MUJER,5-9
2020,F83,observed,158,,
2020,F83,fixed65,158,,
2020,F83,observed,65,HOMBRE,0-4
2020,F83,observed,10,HOMBRE,10-14
2020,F83,observed,16,HOMBRE,5-9
2020,F83,observed,38,MUJER,0-4
2020,F83,observed,1,MUJER,15-19
2020,F83,observed,1,MUJER,20-24
2020,F83,observed,18,MUJER,5-9
2020,F84,observed,1633,,
2020,F84,fixed65,1633,,
2020,F84,observed,256,HOMBRE,0-4
2020,F84,observed,319,HOMBRE,10-14
2020,F84,observed,170,HOMBRE,15-19
2020,F84,observed,47,HOMBRE,20-24
2020,F84,observed,31,HOMBRE,25-29
2020,F84,observed,27,HOMBRE,30-34
2020,F84,observed,10,HOMBRE,35-39
2020,F84,observed,9,HOMBRE,40-44
2020,F84,observed,3,HOMBRE,45-49
2020,F84,observed,329,HOMBRE,5-9
2020,F84,observed,2,HOMBRE,55-59
2020,F84,observed,1,HOMBRE,60-64
2020,F84,observed,1,HOMBRE,65-69
2020,F84,observed,106,MUJER,0-4
2020,F84,observed,112,MUJER,10-14
2020,F84,observed,47,MUJER,15-19
2020,F84,observed,13,MUJER,20-24
2020,F84,observed,16,MUJER,25-29
2020,F84,observed,7,MUJER,30-34
2020,F84,observed,9,MUJER,35-39
2020,F84,observed,2,MUJER,40-44
2020,F84,observed,108,MUJER,5-9
2020,F84,observed,1,MUJER,60-64
2020,F88,observed,12,,
2020,F88,fixed65,12,,
2020,F88,observed,5,HOMBRE,10-14
2020,F89,observed,68,,
2020,F89,fixed65,68,,
2020,F89,observed,7,HOMBRE,0-4
2020,F89,observed,5,HOMBRE,15-19
2020,F89,observed,7,HOMBRE,5-9
2020,F89,observed,6,MUJER,0-4
2020,F89,observed,18,MUJER,10-14
2020,F89,observed,8,MUJER,15-19
2020,F89,observed,2,MUJER,25-29
2020,F80,observed,3,HOMBRE,40-44
2020,F80,observed,8,HOMBRE,75-79
2020,F80,observed,3,MUJER,20-24
2020,F81,observed,2,HOMBRE,0-4
2020,F81,observed,2,MUJER,20-24
2020,F81,observed,1,MUJER,35-39
2020,F82,observed,1,HOMBRE,35-39
2020,F82,observed,4,MUJER,15-19
2020,F83,observed,1,HOMBRE,15-19
2020,F83,observed,1,HOMBRE,20-24
2020,F83,observed,4,MUJER,10-14
2020,F84,observed,1,HOMBRE,50-54
2020,F84,observed,1,MUJER,75-79
2020,F88,observed,1,HOMBRE,5-9
2020,F88,observed,4,MUJER,10-14
2020,F88,observed,2,MUJER,15-19
2020,F89,observed,5,HOMBRE,10-14
2020,F89,observed,1,HOMBRE,30-34
2020,F89,observed,1,MUJER,30-34
2020,F89,observed,1,MUJER,40-44
2020,F89,observed,1,MUJER,5-9
2020,F80,observed,1,MUJER,30-34
2020,F80,observed,4,MUJER,50-54
2020,F81,observed,1,HOMBRE,65-69
2020,F82,observed,2,HOMBRE,75-79
2020,F83,observed,1,HOMBRE,45-49
2020,F83,observed,2,HOMBRE,50-54
2020,F84,observed,1,HOMBRE,80+
2020,F84,observed,1,MUJER,45-49
2020,F89,observed,1,MUJER,55-59
2020,F80,observed,1,HOMBRE,30-34
2020,F81,observed,1,HOMBRE,55-59
2020,F81,observed,1,HOMBRE,60-64
2020,F81,observed,1,HOMBRE,70-74
2020,F81,observed,1,MUJER,30-34
2020,F84,observed,1,HOMBRE,70-74
2020,F84,observed,1,MUJER,55-59
2020,F84,observed,1,MUJER,70-74
2020,F89,observed,2,HOMBRE,25-29
2020,F89,observed,1,HOMBRE,35-39
2020,F89,observed,2,MUJER,50-54
2021,F80,observed,731,,
2021,F80,fixed65,731,,
2021,F80,observed,222,HOMBRE,0-4
2021,F80,observed,61,HOMBRE,10-14
2021,F80,observed,15,HOMBRE,15-19
2021,F80,observed,2,HOMBRE,30-34
2021,F80,observed,6,HOMBRE,45-49
