metropolitan,GRD,GRD_count,A05,A05_count,P2,P2_count
False,24.14459161147903,49.0,15.275149795017343,31.0,81.79596341847997,166.0
False,42.82548407349352,103.0,22.036414134904437,53.0,61.5356470182237,148.0
False,31.3467340621449,288.0,10.340068527443629,95.0,76.62534992968754,704.0
True,10.65019436604718,44.0,19.36398975644942,80.0,58.33401914130388,241.0
False,6.3145664418681005,5.0,,,,
False,19.26927555901844,23.0,,,73.72592387798359,88.0
False,19.62130874129305,20.0,,,38.26155204552144,39.0
False,,,,,53.09221957654933,33.0
True,29.206575415106222,141.0,29.206575415106222,141.0,85.54833791800617,413.0
False,22.436507123591014,46.0,,,67.30952137077304,138.0
False,36.18922735999587,462.0,32.89929759999624,420.0,85.14651545522837,1087.0
True,30.199362982187093,128.0,52.141087648932405,221.0,137.7845936062286,584.0
False,19.7895115588738,11.0,,,61.16758118197356,34.0
False,26.057783134099864,16.0,,,130.28891567049934,80.0
False,14.7377147331092,16.0,155.6671118684659,169.0,38.686501174411646,42.0
False,,,41.782314143313336,28.0,65.65792222520668,44.0
False,7.724751649234477,5.0,,,128.2308773772923,83.0
False,13.687879838665523,15.0,36.50101290310806,40.0,62.0517219352837,68.0
