variant,series,unit,stock_or_flow,index_base_year,year,value,index,first_year,last_year,note,script
con_rett,a05_strict_entries,"A05 autism entries (05990022), count",flow,2021,2024,11842.0,567.9616306954437,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,a05_strict_entries,"A05 autism entries (05990022), count",flow,2021,2025,13155.0,630.9352517985611,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,a05_family_entries,"A05 PDD family entries (con_rett), count",flow,2021,2021,5302.0,100.0,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,a05_family_entries,"A05 PDD family entries (con_rett), count",flow,2021,2022,8080.0,152.39532251980384,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,a05_family_entries,"A05 PDD family entries (con_rett), count",flow,2021,2023,12142.0,229.00792153904186,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,a05_family_entries,"A05 PDD family entries (con_rett), count",flow,2021,2024,14888.0,280.7996982270841,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,a05_family_entries,"A05 PDD family entries (con_rett), count",flow,2021,2025,15685.0,295.83176159939643,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2021,2019,1854.0,48.11834933817804,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2021,2020,1919.0,49.8053464832598,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2021,2021,3853.0,100.0,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2021,2022,7923.0,205.63197508434985,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2021,2023,13190.0,342.33065144043604,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2021,2024,21737.0,564.1577991175707,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2021,2025,29974.0,777.9392681027771,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2019,2019,1854.0,100.0,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2019,2020,1919.0,103.50593311758361,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2019,2021,3853.0,207.82092772384036,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2019,2022,7923.0,427.3462783171521,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2019,2023,13190.0,711.4347357065803,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2019,2024,21737.0,1172.437971952535,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p2_december_stock,"P2 ASD under control in December, people",stock,2019,2025,29974.0,1616.7206040992448,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p6_primary_strict_stock,"P6 primary-care autism under control in December (P6241010), people",stock,2021,2021,2257.0,100.0,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p6_primary_strict_stock,"P6 primary-care autism under control in December (P6241010), people",stock,2021,2022,5042.0,223.39388568896766,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p6_primary_strict_stock,"P6 primary-care autism under control in December (P6241010), people",stock,2021,2023,9717.0,430.52724856003545,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p6_primary_strict_stock,"P6 primary-care autism under control in December (P6241010), people",stock,2021,2024,15934.0,705.9813912272929,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,p6_primary_strict_stock,"P6 primary-care autism under control in December (P6241010), people",stock,2021,2025,21843.0,967.7891005759858,2021,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2021,2019,21012.0,68.03963473868272,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
con_rett,pie_harmonised,"PIE ASD + ASD-Asperger students (harmonised), annual stock",stock,2021,2020,23590.0,76.38753966712001,2019,2025,"Indices (base year = 100) of series with different units, denominators and coverage; never levels; first common year across all series is 2021 (A05 autism codes start in 2021)",lancet_americas/pipeline/06_models.py
