cut_comuna,indicator,variant,population_base,observed,expected,expected_unscaled,expected_scaling_factor,person_years,rate_per_100k,standardisation,years_in_period,years_reported,rate_lo,rate_hi,sir,sir_lo,sir_hi,sir_eb,eb_weight,prior_mean,prior_variance,suppressed,never_reported,period,years,cut_region,script
3202,grd_episodes,sin_rett,base2017,6.0,21.39307893459809,21.38463018496948,1.000395085140848,85089,7.051440256672425,age-sex indirect (national age x sex x year rates of the same source),6,3,2.587754296666844,15.348016808892668,0.2804645380098356,0.1029255424253039,0.6104532247295253,0.3963002598639409,0.8390131856271336,1.0,0.2436156509750521,False,False,full,2019-2024,3,lancet_americas/pipeline/15b_spatial_correlation.py
3301,grd_episodes,sin_rett,base2017,108.0,80.37120875232588,80.33946782236565,1.000395085140848,342776,31.50745676476766,age-sex indirect (national age x sex x year rates of the same source),6,6,25.846177477064817,38.04021001770802,1.3437647843871026,1.10231629813854,1.6223808539712348,1.3270606999750083,0.9514083897747818,1.0,0.2436156509750521,False,False,full,2019-2024,3,lancet_americas/pipeline/15b_spatial_correlation.py
3302,grd_episodes,sin_rett,base2017,4.0,6.826248620100651,6.823552735806943,1.000395085140848,34483,11.599918800568396,age-sex indirect (national age x sex x year rates of the same source),6,2,3.1605874594041263,29.70039925587593,0.5859733834219799,0.1596580251145694,1.5003245919356345,0.7414482502630796,0.624480985966269,1.0,0.2436156509750521,True,False,full,2019-2024,3,lancet_americas/pipeline/15b_spatial_correlation.py
3303,grd_episodes,sin_rett,base2017,22.0,10.776850757232602,10.772594665152024,1.000395085140848,46438,47.374994616477885,age-sex indirect (national age x sex x year rates of the same source),6,4,29.68965690216979,71.7263111829218,2.0414126998311892,1.2793424705242982,3.0907233604187434,1.754158888589286,0.7241690913809035,1.0,0.2436156509750521,False,False,full,2019-2024,3,lancet_americas/pipeline/15b_spatial_correlation.py
3304,grd_episodes,sin_rett,base2017,13.0,15.53572224087614,15.529586731914852,1.000395085140848,68310,19.03088859610599,age-sex indirect (national age x sex x year rates of the same source),6,4,10.133146671063978,32.543399089677756,0.8367811807162473,0.4455507367910716,1.4309213033989712,0.8708935140408648,0.7910024501199587,1.0,0.2436156509750521,False,False,full,2019-2024,3,lancet_americas/pipeline/15b_spatial_correlation.py
4101,grd_episodes,sin_rett,base2017,513.0,348.8616192047781,348.723843595914,1.000395085140848,1537665,33.36227331700988,age-sex indirect (national age x sex x year rates of the same source),6,6,30.53736663627059,36.378203012245486,1.470497101886334,1.3459846908867956,1.6034291666229337,1.4650254514396837,0.9883704906476292,1.0,0.2436156509750521,False,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4102,grd_episodes,sin_rett,base2017,632.0,369.4539259711875,369.3080178609347,1.000395085140848,1582734,39.930904371802214,age-sex indirect (national age x sex x year rates of the same source),6,6,36.87803210740931,43.169092804720734,1.7106327895654507,1.5798482886886498,1.8493562019020289,1.702824046375896,0.9890115636314366,1.0,0.2436156509750521,False,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4103,grd_episodes,sin_rett,base2017,10.0,15.478923711950074,15.472810634381275,1.000395085140848,70836,14.11711559094246,age-sex indirect (national age x sex x year rates of the same source),6,3,6.76970565268004,25.961878200375203,0.6460397496681102,0.3098011712810682,1.1880901013692582,0.7202311288893698,0.7903962968957833,1.0,0.2436156509750521,False,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4104,grd_episodes,sin_rett,base2017,1.0,5.969286893529156,5.966929448367618,1.000395085140848,26885,3.719546215361726,age-sex indirect (national age x sex x year rates of the same source),6,1,0.0941707568692202,20.723985088111952,0.1675241980887236,0.0042413454799324,0.9333850911033758,0.5067271273621173,0.5925371902767388,1.0,0.2436156509750521,True,False,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
4105,grd_episodes,sin_rett,base2017,0.0,5.29836950805776,5.296277027702302,1.000395085140848,28122,0.0,age-sex indirect (national age x sex x year rates of the same source),6,0,0.0,13.117415027785848,0.0,0.0,0.6962291792793779,0.4365352527891989,0.5634647472108011,1.0,0.2436156509750521,True,True,full,2019-2024,4,lancet_americas/pipeline/15b_spatial_correlation.py
