era,year,variant,position,panel,horizon_days,n_discharges,n_eligible,n_readmitted_any_cause,n_readmitted_f84,n_with_overlapping_next_admission,pct_any_cause,pct_any_cause_lo,pct_any_cause_hi,pct_f84,pct_f84_lo,pct_f84_hi,unit,denominator,script
2021-2024,2022,strict_autism_f840,secondary_only,observed,90,2856,2856,474,353,2,16.5966,15.2772,18.0058,12.3599,11.2032,13.6178,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2022,strict_autism_f840,secondary_only,observed,365,2856,2856,822,636,2,28.7815,27.1504,30.4696,22.2689,20.7809,23.8315,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,any,fixed65,30,6419,6419,875,724,2,13.6314,12.8137,14.4926,11.279,10.5282,12.0762,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,any,fixed65,90,6419,6419,1314,1076,2,20.4705,19.5012,21.4751,16.7627,15.8689,17.6963,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,any,fixed65,365,6419,6419,2085,1708,2,32.4817,31.3468,33.6375,26.6085,25.5417,27.7033,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,any,observed,30,6471,6471,880,726,2,13.5991,12.7855,14.4559,11.2193,10.4732,12.0114,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,any,observed,90,6471,6471,1325,1083,2,20.476,19.5104,21.4765,16.7362,15.8465,17.6654,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,any,observed,365,6471,6471,2104,1722,2,32.5143,31.3836,33.6657,26.611,25.5484,27.7014,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,principal,fixed65,30,363,363,103,102,0,28.3747,23.9823,33.2199,28.0992,23.7232,32.9339,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,principal,fixed65,90,363,363,136,132,0,37.4656,32.6419,42.5517,36.3636,31.5818,41.4311,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,principal,fixed65,365,363,363,188,182,0,51.7906,46.6586,56.8852,50.1377,45.0197,55.2528,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,principal,observed,30,366,366,104,103,0,28.4153,24.0375,33.2415,28.1421,23.7804,32.9578,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,principal,observed,90,366,366,137,133,0,37.4317,32.6283,42.4961,36.3388,31.5768,41.3846,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,principal,observed,365,366,366,191,185,0,52.1858,47.0721,57.254,50.5464,45.4453,55.6362,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,secondary_only,fixed65,30,6056,6056,772,622,2,12.7477,11.9313,13.6113,10.2708,9.5312,11.0607,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,secondary_only,fixed65,90,6056,6056,1178,944,2,19.4518,18.4744,20.4679,15.5878,14.6961,16.5232,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,secondary_only,fixed65,365,6056,6056,1897,1526,2,31.3243,30.1683,32.504,25.1982,24.1207,26.3071,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,secondary_only,observed,30,6105,6105,776,623,2,12.7109,11.8987,13.57,10.2048,9.4703,10.9893,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,secondary_only,observed,90,6105,6105,1188,950,2,19.4595,18.4857,20.4716,15.561,14.6734,16.4919,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,con_rett,secondary_only,observed,365,6105,6105,1913,1537,2,31.335,30.1835,32.51,25.1761,24.1032,26.2802,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,any,fixed65,30,6369,6369,871,720,2,13.6756,12.8537,14.5414,11.3048,10.5503,12.1059,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,any,fixed65,90,6369,6369,1302,1064,2,20.4428,19.4703,21.4509,16.7059,15.8099,17.6421,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,any,fixed65,365,6369,6369,2061,1683,2,32.3599,31.2218,33.5192,26.4249,25.3564,27.5217,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,any,observed,30,6421,6421,876,722,2,13.6427,12.8249,14.5041,11.2444,10.4947,12.0403,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,any,observed,90,6421,6421,1313,1071,2,20.4485,19.4798,21.4526,16.6796,15.7878,17.6113,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,any,observed,365,6421,6421,2080,1697,2,32.3937,31.2599,33.5486,26.4289,25.3647,27.5213,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,principal,fixed65,30,358,358,102,101,0,28.4916,24.0636,33.3763,28.2123,23.8009,33.0863,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,principal,fixed65,90,358,358,134,130,0,37.4302,32.5755,42.5517,36.3128,31.501,41.4153,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,principal,fixed65,365,358,358,184,178,0,51.3966,46.232,56.5316,49.7207,44.5719,54.8754,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,principal,observed,30,361,361,103,102,0,28.5319,24.1188,33.397,28.2548,23.8582,33.1094,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,principal,observed,90,361,361,135,131,0,37.3961,32.5622,42.4955,36.2881,31.4965,41.3685,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,principal,observed,365,361,361,187,181,0,51.8006,46.6543,56.9089,50.1385,45.0065,55.2676,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,secondary_only,fixed65,30,6011,6011,769,619,2,12.7932,11.9725,13.6614,10.2978,9.5546,11.0916,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,secondary_only,fixed65,90,6011,6011,1168,934,2,19.431,18.4504,20.4507,15.5382,14.6444,16.476,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,secondary_only,fixed65,365,6011,6011,1877,1505,2,31.2261,30.0669,32.4093,25.0374,23.9584,26.1483,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,secondary_only,observed,30,6060,6060,773,620,2,12.7558,11.9394,13.6193,10.231,9.493,11.0194,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,secondary_only,observed,90,6060,6060,1178,940,2,19.4389,18.4621,20.4545,15.5116,14.622,16.4448,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,sin_rett,secondary_only,observed,365,6060,6060,1893,1516,2,31.2376,30.0829,32.4161,25.0165,23.9421,26.1226,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,strict_autism_f840,any,fixed65,30,5285,5285,671,525,1,12.6963,11.8257,13.6211,9.9338,9.1562,10.7695,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,strict_autism_f840,any,fixed65,90,5285,5285,1014,783,1,19.1864,18.1473,20.2702,14.8155,13.8833,15.7988,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,strict_autism_f840,any,fixed65,365,5285,5285,1641,1274,1,31.0501,29.8168,32.311,24.106,22.9719,25.2777,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,strict_autism_f840,any,observed,30,5324,5324,674,526,1,12.6597,11.7933,13.5799,9.8798,9.107,10.7105,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,strict_autism_f840,any,observed,90,5324,5324,1021,787,1,19.1773,18.1422,20.2569,14.7821,13.8541,15.7609,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,strict_autism_f840,any,observed,365,5324,5324,1651,1283,1,31.0105,29.7821,32.2663,24.0984,22.9685,25.2656,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,strict_autism_f840,principal,fixed65,30,251,251,63,59,0,25.0996,20.1383,30.8116,23.506,18.6839,29.1268,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,strict_autism_f840,principal,fixed65,90,251,251,85,78,0,33.8645,28.2923,39.9232,31.0757,25.6717,37.0502,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,strict_autism_f840,principal,fixed65,365,251,251,123,109,0,49.004,42.8814,55.1566,43.4263,37.4391,49.6117,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,strict_autism_f840,principal,observed,30,253,253,64,60,0,25.2964,20.3367,30.9951,23.7154,18.892,29.3251,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,strict_autism_f840,principal,observed,90,253,253,86,79,0,33.9921,28.4336,40.0294,31.2253,25.8318,37.1804,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
2021-2024,2023,strict_autism_f840,principal,observed,365,253,253,125,111,0,49.4071,43.3016,55.5304,43.8735,37.8957,50.0346,egresos GRD (índice) y reingresos,n_eligible,lancet_americas/pipeline/11_grd_episode_detail.py
