series,year,sex,age_group,population,count,rate,rate_lo,rate_hi
A05_egresos_TGD_total,2021,TOTAL,5-9,1279150.0,473,36.97768049095102,33.719932126066276,40.46519566839201
A05_egresos_TGD_total,2021,TOTAL,50-54,1225010.0,18,1.4693757601978759,0.8708451996636377,2.322247187168103
A05_egresos_TGD_total,2021,TOTAL,55-59,1167604.0,16,1.3703276110736173,0.783260630628323,2.2253261891498264
A05_egresos_TGD_total,2021,TOTAL,60-64,1013544.0,17,1.677282880664283,0.9770790877956255,2.6854923728922095
A05_egresos_TGD_total,2021,TOTAL,65-69,844335.0,12,1.4212368313524846,0.7343738100069543,2.4826147261663865
A05_egresos_TGD_total,2021,TOTAL,70-74,615340.0,9,1.462606038937823,0.6687966160786449,2.776481855790159
A05_egresos_TGD_total,2021,TOTAL,75-79,430954.0,4,0.9281733085201669,0.25289598742007846,2.37649231133803
A05_egresos_TGD_total,2021,TOTAL,80+,568070.0,7,1.2322425053250479,0.4954253967855837,2.5388905173134257
A05_egresos_TGD_total,2022,TOTAL,0-4,1177286.0,153,12.995992477613767,11.018323096658746,15.226154401172073
A05_egresos_TGD_total,2022,TOTAL,10-14,1298475.0,462,35.580199849823835,32.409339675806095,38.97744775131523
A05_egresos_TGD_total,2022,TOTAL,15-19,1232087.0,355,28.812900387716127,25.893263342353624,31.971636672542903
A05_egresos_TGD_total,2022,TOTAL,20-24,1378746.0,78,5.6573146903055385,4.471872498996938,7.060584766945455
A05_egresos_TGD_total,2022,TOTAL,25-29,1594730.0,28,1.7557831106206065,1.1667051259998578,2.5375954514725496
A05_egresos_TGD_total,2022,TOTAL,30-34,1696451.0,19,1.1199851926168218,0.6743042483612395,1.7489956132883053
A05_egresos_TGD_total,2022,TOTAL,35-39,1483789.0,10,0.6739502719052372,0.3231853515649754,1.2394185454952003
A05_egresos_TGD_total,2022,TOTAL,40-44,1379609.0,6,0.434905832014723,0.15960277538714598,0.946606902573025
A05_egresos_TGD_total,2022,TOTAL,45-49,1316079.0,5,0.37991640319464104,0.12335782199384844,0.8865981509713833
A05_egresos_TGD_total,2022,TOTAL,5-9,1263605.0,619,48.98682737089518,45.203256999929906,53.00254816681282
A05_egresos_TGD_total,2022,TOTAL,50-54,1224709.0,2,0.16330409917784552,0.01977688402256903,0.5899105557094755
A05_egresos_TGD_total,2022,TOTAL,55-59,1184443.0,6,0.5065672218924845,0.18590124248198103,1.1025835791607266
A05_egresos_TGD_total,2022,TOTAL,60-64,1037933.0,7,0.6744173275153599,0.27115074398057154,1.3895574532944204
A05_egresos_TGD_total,2022,TOTAL,65-69,871490.0,58,6.655268563035721,5.053624445518566,8.603477922258955
A05_egresos_TGD_total,2022,TOTAL,70-74,648484.0,1,0.15420580924124574,0.0039041530684318926,0.8591797779033713
A05_egresos_TGD_total,2022,TOTAL,75-79,450362.0,1,0.22204360048139052,0.00562165724112822,1.2371477591224167
A05_egresos_TGD_total,2022,TOTAL,80+,590285.0,13,2.202325995070178,1.1726458390444956,3.7660445239433282
A05_egresos_TGD_total,2023,TOTAL,0-4,1181326.0,263,22.26311788617198,19.653526187479567,25.12278274779014
A05_egresos_TGD_total,2023,TOTAL,10-14,1298004.0,753,58.01214788244104,53.942072490350355,62.30794136731524
A05_egresos_TGD_total,2023,TOTAL,15-19,1235359.0,621,50.268788263168844,46.392335407529984,54.382694495210124
A05_egresos_TGD_total,2023,TOTAL,20-24,1339853.0,124,9.254746602798964,7.697619403850093,11.034368254531884
A05_egresos_TGD_total,2023,TOTAL,25-29,1556004.0,71,4.562970275140681,3.5637176417604985,5.75556612367967
A05_egresos_TGD_total,2023,TOTAL,30-34,1709514.0,41,2.39834245288427,1.721091951774322,3.2536223491433773
A05_egresos_TGD_total,2023,TOTAL,35-39,1515059.0,21,1.386084634327772,0.8580082349318533,2.1187776010665855
A05_egresos_TGD_total,2023,TOTAL,40-44,1400321.0,12,0.8569463715819444,0.44279669509506875,1.4969128541367986
A05_egresos_TGD_total,2023,TOTAL,45-49,1329324.0,23,1.7302027195777703,1.0968001056961791,2.5961536009906565
A05_egresos_TGD_total,2023,TOTAL,5-9,1243537.0,1021,82.1045131749196,77.14491487220013,87.29931453338754
A05_egresos_TGD_total,2023,TOTAL,50-54,1229143.0,10,0.8135749867997458,0.3901408295155595,1.4961933674127241
A05_egresos_TGD_total,2023,TOTAL,55-59,1196120.0,16,1.3376584289201752,0.7645873703007661,2.1722734840618783
A05_egresos_TGD_total,2023,TOTAL,60-64,1063197.0,8,0.7524475708641014,0.3248534539458352,1.482621679725706
A05_egresos_TGD_total,2023,TOTAL,65-69,896331.0,7,0.7809614974825149,0.31398702616777346,1.6090791640256086
A05_egresos_TGD_total,2023,TOTAL,70-74,682886.0,3,0.4393119788661651,0.0905966915261993,1.2838560271761792
A05_egresos_TGD_total,2023,TOTAL,75-79,471119.0,4,0.849042386318531,0.23133547439740806,2.173885722164399
A05_egresos_TGD_total,2023,TOTAL,80+,613792.0,2,0.32584328241488975,0.03946113317605394,1.1770579720367746
A05_egresos_TGD_total,2024,TOTAL,0-4,1184081.0,280,23.647030904135782,20.95808549873867,26.58531321230964
A05_egresos_TGD_total,2024,TOTAL,10-14,1292273.0,1324,102.45513138477706,97.01007357120083,108.1262352476297
A05_egresos_TGD_total,2024,TOTAL,15-19,1250082.0,1052,84.15447946614702,79.14535527667479,89.39753918226016
A05_egresos_TGD_total,2024,TOTAL,20-24,1303328.0,315,24.16889685482089,21.57328848729793,26.9907768122369
A05_egresos_TGD_total,2024,TOTAL,25-29,1514291.0,118,7.792425630212422,6.44999666116268,9.3318605686663
A05_egresos_TGD_total,2024,TOTAL,30-34,1699578.0,94,5.530784700672755,4.469437024902076,6.768279757023935
A05_egresos_TGD_total,2024,TOTAL,35-39,1561503.0,85,5.44347337148888,4.348053190086378,6.730939122044528
A05_egresos_TGD_total,2024,TOTAL,40-44,1421165.0,61,4.292253186646167,3.283233583783905,5.513578783240234
