definition,unit,year,sex,age_group,population,count,rate,rate_lo,rate_hi
TEA_operacional,persons,2021,MUJER,15-19,610954.0,66.0,10.802777295835693,8.35486717799397,13.74378143731063
TEA_operacional,persons,2021,MUJER,20-24,697050.0,17.0,2.4388494369127036,1.4207196714162964,3.9048342035587997
TEA_operacional,persons,2021,MUJER,25-29,802756.0,13.0,1.6194210943300331,0.8622735290678365,2.7692593911672883
TEA_operacional,persons,2021,MUJER,30-34,817367.0,9.0,1.1010965698394968,0.5034914667925587,2.090224275193293
TEA_operacional,persons,2021,MUJER,35-39,722171.0,9.0,1.2462422334876366,0.5698613067235231,2.3657559568882114
TEA_operacional,persons,2021,MUJER,40-44,678365.0,2.0,0.2948265314395642,0.03570486073779823,1.0650148029046251
TEA_operacional,persons,2021,MUJER,45-49,651942.0,1.0,0.15338787806277246,0.003883444843910942,0.8546225570585877
TEA_operacional,persons,2021,MUJER,5-9,627814.0,98.0,15.60971880206558,12.672724258195522,19.023247377907357
TEA_operacional,persons,2021,MUJER,50-54,622931.0,2.0,0.32106284644687777,0.03888220020258503,1.1597893936445547
TEA_operacional,persons,2021,MUJER,55-59,601133.0,0.0,0.0,0.0,0.6136544581837855
TEA_operacional,persons,2021,MUJER,60-64,530360.0,0.0,0.0,0.0,0.6955425473478271
TEA_operacional,persons,2021,MUJER,65-69,450783.0,0.0,0.0,0.0,0.8183271006479693
TEA_operacional,persons,2021,MUJER,70-74,336455.0,1.0,0.2972165668514363,0.0075248719692945195,1.6559847203753542
TEA_operacional,persons,2021,MUJER,75-79,246241.0,1.0,0.406106213018953,0.010281719122440972,2.262678997786274
TEA_operacional,persons,2021,MUJER,80+,362878.0,0.0,0.0,0.0,1.0165618897023063
TEA_operacional,persons,2022,HOMBRE,0-4,599782.0,614.0,102.37052795849158,94.43230808937875,110.79786262474265
TEA_operacional,persons,2022,HOMBRE,10-14,660773.0,536.0,81.11711586278496,74.39438412381848,88.28423134724146
TEA_operacional,persons,2022,HOMBRE,15-19,626479.0,250.0,39.90556746515047,35.111790759297165,45.17113982149698
TEA_operacional,persons,2022,HOMBRE,20-24,700037.0,80.0,11.427967378867118,9.06166739629339,14.22309463177496
TEA_operacional,persons,2022,HOMBRE,25-29,808991.0,59.0,7.293035398416052,5.551796451220525,9.407484306077048
TEA_operacional,persons,2022,HOMBRE,30-34,860590.0,35.0,4.066977306266631,2.832798708156005,5.656180918797927
TEA_operacional,persons,2022,HOMBRE,35-39,750870.0,22.0,2.929934609186677,1.8361744206360102,4.435956209080831
TEA_operacional,persons,2022,HOMBRE,40-44,693436.0,12.0,1.7305129817315512,0.8941813099871102,3.022857920295018
TEA_operacional,persons,2022,HOMBRE,45-49,655076.0,9.0,1.3738863887548927,0.628228342570684,2.6080643240508223
TEA_operacional,persons,2022,HOMBRE,5-9,643572.0,768.0,119.33396729503458,111.0423002417601,128.08082555518027
TEA_operacional,persons,2022,HOMBRE,50-54,602705.0,4.0,0.6636746003434516,0.18082899156740442,1.6992705677576416
TEA_operacional,persons,2022,HOMBRE,55-59,575473.0,0.0,0.0,0.0,0.6410169467749026
TEA_operacional,persons,2022,HOMBRE,60-64,495545.0,3.0,0.6053940610842607,0.12484680965312965,1.7692183494419929
TEA_operacional,persons,2022,HOMBRE,65-69,406952.0,2.0,0.49145845210245925,0.059517898559035214,1.775316909051672
TEA_operacional,persons,2022,HOMBRE,70-74,294260.0,2.0,0.679671039217019,0.08231131602799055,2.4552054875701628
TEA_operacional,persons,2022,HOMBRE,75-79,194048.0,2.0,1.0306728232189974,0.12481926046337245,3.7231446176842637
TEA_operacional,persons,2022,HOMBRE,80+,214389.0,0.0,0.0,0.0,1.720647726382387
TEA_operacional,persons,2022,MUJER,0-4,577504.0,213.0,36.8828614174101,32.09568619211936,42.18271932331132
TEA_operacional,persons,2022,MUJER,10-14,637702.0,235.0,36.85106836735654,32.28975160047371,41.87617692119772
TEA_operacional,persons,2022,MUJER,15-19,605608.0,116.0,19.154304434551722,15.827572373781962,22.97376363560207
TEA_operacional,persons,2022,MUJER,20-24,678709.0,31.0,4.56749505310818,3.1033912883344486,6.483194639123505
TEA_operacional,persons,2022,MUJER,25-29,785739.0,20.0,2.545374481857207,1.5547808604897992,3.9311244449714984
TEA_operacional,persons,2022,MUJER,30-34,835861.0,10.0,1.1963711669763275,0.5737064770497048,2.2001691719098964
TEA_operacional,persons,2022,MUJER,35-39,732919.0,13.0,1.773729429855141,0.9444362188732727,3.0331313444130763
TEA_operacional,persons,2022,MUJER,40-44,686173.0,1.0,0.14573584212727694,0.003689712067407181,0.8119881416113572
TEA_operacional,persons,2022,MUJER,45-49,661003.0,6.0,0.9077114627316366,0.33311410893609417,1.9757057112477077
TEA_operacional,persons,2022,MUJER,5-9,620033.0,170.0,27.417895499110532,23.451190655957813,31.86338047761536
