year,definition,unit,role,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing
2019,TEA_operacional,records,cualquiera,HOMBRE,1779.0,9424139.0,18.87705603663104,18.009957739311737,19.77511166104765,23.68687734545839,22.594381970419622,24.81962499332913,0.3180074327778629,0
2019,TEA_operacional,records,cualquiera,MUJER,544.0,9683077.0,5.618048890863927,5.155805070269799,6.110614265539185,7.556851277215367,6.932069004229679,8.223909631882098,0.10601805738701997,0
2019,TEA_operacional,records,cualquiera,TOTAL,2323.0,19107216.0,12.157710469175624,11.668289649418343,12.662385099116369,15.764186489736787,15.126790526795105,16.42208114681028,0.10793133038503984,0
2020,TEA_operacional,records,cualquiera,HOMBRE,1199.0,9599101.0,12.490753040310754,11.793658728794757,13.218292806126087,15.851146087465045,14.962476654058321,16.780147658659242,0.21150126055425214,0
2020,TEA_operacional,records,cualquiera,MUJER,399.0,9859209.0,4.046977805217437,3.6595769165423486,4.464229011136444,5.457092898809441,4.931481155075065,6.0249304704541835,0.0755851639294247,0
2020,TEA_operacional,records,cualquiera,TOTAL,1598.0,19458310.0,8.21242954809539,7.814665644403929,8.625193382635118,10.744643557259954,10.221580515204943,11.288216373429815,0.072992666880506,0
2021,TEA_operacional,records,cualquiera,HOMBRE,1799.0,9708512.0,18.53013108496956,17.683657815723485,19.40665358225653,23.681817587724655,22.59419287905923,24.809776150676527,0.3151464282013604,0
2021,TEA_operacional,records,cualquiera,MUJER,555.0,9969851.0,5.566783294955963,5.113222222948896,6.049789604381602,7.582303304606628,6.961231722239565,8.245563180177435,0.10471961116368357,0
2021,TEA_operacional,records,cualquiera,TOTAL,2354.0,19678363.0,11.962377155050957,11.483968768851383,12.455595944612496,15.768774068204028,15.134579814647108,16.42348481815361,0.10683799667990221,0
2022,TEA_operacional,records,cualquiera,HOMBRE,2880.0,9782978.0,29.438888649243616,28.373442407001416,30.53410617839739,38.51884063420308,37.11831548971732,39.960001860782235,0.5200034537051531,0
2022,TEA_operacional,records,cualquiera,MUJER,970.0,10045585.0,9.655983200580156,9.05780869442953,10.283281202790509,13.345594827696559,12.513758970467528,14.219691201628972,0.1859205873158961,0
2022,TEA_operacional,records,cualquiera,TOTAL,3850.0,19828563.0,19.416434766351955,18.807905239993044,20.039640412607245,26.15855236637661,25.33454355814069,27.003218342526598,0.1795617568456664,0
2023,TEA_operacional,records,cualquiera,HOMBRE,4486.0,9848466.0,45.55024102230743,44.2269486969553,46.90306999304275,60.4937643180245,58.729493588550625,62.298730271269385,0.8221780550662099,0
2023,TEA_operacional,records,cualquiera,MUJER,1918.0,10112423.0,18.966769882944966,18.127351537290203,19.835030075563612,26.244525746865982,25.07623698352102,27.454706078504024,0.3633618221954011,0
2023,TEA_operacional,records,cualquiera,TOTAL,6404.0,19960889.0,32.082739401035695,31.30172799859393,32.87831192974533,43.68028361604918,42.612081984729066,44.76912291932063,0.30068217590781676,0
2024,TEA_operacional,records,cualquiera,HOMBRE,5839.0,9910500.0,58.91730992381817,57.415690211639536,60.448263241237726,78.86750792288792,76.85011928613952,80.92555476862684,1.0730670632948316,0
2024,TEA_operacional,records,cualquiera,MUJER,2870.0,10175877.0,28.20395726088277,27.18144491788456,29.255091707552836,38.860222045590966,37.442114993825705,40.319881843010855,0.5331776323674055,0
2024,TEA_operacional,records,cualquiera,TOTAL,8709.0,20086377.0,43.35774440557399,42.45186269013057,44.27808761960306,59.237489963022036,57.99403122641693,60.501521091152284,0.4067300090648824,0
2019,TEA_operacional,records,principal,HOMBRE,183.0,9424139.0,1.9418219531778977,1.670662716083307,2.244452928218122,2.363004776556747,2.0313936286954757,2.7349502631514047,0.030828154123295207,0
2019,TEA_operacional,records,principal,MUJER,38.0,9683077.0,0.3924372387000537,0.2777119467829921,0.5386507710230912,0.5191569736627998,0.3668734454870706,0.7151199129952069,0.007145521273320007,0
2019,TEA_operacional,records,principal,TOTAL,221.0,19107216.0,1.1566310863916542,1.009155084989012,1.3195963266184783,1.4569822217586483,1.2703063867234448,1.6641787833500106,0.0097024520727501,0
2020,TEA_operacional,records,principal,HOMBRE,120.0,9599101.0,1.250117068254621,1.036471286487544,1.4948335825339503,1.5541106773131486,1.2874545135690934,1.861570381550938,0.020295874724134657,0
2020,TEA_operacional,records,principal,MUJER,32.0,9859209.0,0.3245696485387418,0.22200539933056054,0.45819550107336676,0.42645690450054574,0.29123979794591454,0.6052332825465718,0.005726119471070684,0
