year,cut_region,sex,age_group,population
2017,9,MUJER,40-44,34688.0
2017,9,MUJER,45-49,33305.0
2017,9,MUJER,5-9,34523.0
2017,9,MUJER,50-54,32595.0
2017,9,MUJER,55-59,28725.0
2017,9,MUJER,60-64,25544.0
2017,9,MUJER,65-69,20479.0
2017,9,MUJER,70-74,16556.0
2017,9,MUJER,75-79,13160.0
2017,9,MUJER,80+,19160.0
2017,10,HOMBRE,0-4,28495.0
2017,10,HOMBRE,10-14,30983.0
2017,10,HOMBRE,15-19,31558.0
2017,10,HOMBRE,20-24,30634.0
2017,10,HOMBRE,25-29,33884.0
2017,10,HOMBRE,30-34,31745.0
2017,10,HOMBRE,35-39,32053.0
2017,10,HOMBRE,40-44,33239.0
2017,10,HOMBRE,45-49,31803.0
2017,10,HOMBRE,5-9,32129.0
2017,10,HOMBRE,50-54,30237.0
2017,10,HOMBRE,55-59,24279.0
2017,10,HOMBRE,60-64,20314.0
2017,10,HOMBRE,65-69,15117.0
2017,10,HOMBRE,70-74,10747.0
2017,10,HOMBRE,75-79,7765.0
2017,10,HOMBRE,80+,8277.0
2017,10,MUJER,0-4,27399.0
2017,10,MUJER,10-14,30042.0
2017,10,MUJER,15-19,30872.0
2017,10,MUJER,20-24,30142.0
2017,10,MUJER,25-29,33646.0
2017,10,MUJER,30-34,31767.0
2017,10,MUJER,35-39,32039.0
2017,10,MUJER,40-44,32589.0
2017,10,MUJER,45-49,30287.0
2017,10,MUJER,5-9,30902.0
2017,10,MUJER,50-54,28806.0
2017,10,MUJER,55-59,24142.0
2017,10,MUJER,60-64,20982.0
2017,10,MUJER,65-69,16485.0
2017,10,MUJER,70-74,12631.0
2017,10,MUJER,75-79,10198.0
2017,10,MUJER,80+,14039.0
2017,11,HOMBRE,0-4,3818.0
2017,11,HOMBRE,10-14,4196.0
2017,11,HOMBRE,15-19,3861.0
2017,11,HOMBRE,20-24,3187.0
2017,11,HOMBRE,25-29,4251.0
2017,11,HOMBRE,30-34,4090.0
2017,11,HOMBRE,35-39,4134.0
2017,11,HOMBRE,40-44,4085.0
2017,11,HOMBRE,45-49,3764.0
2017,11,HOMBRE,5-9,4359.0
2017,11,HOMBRE,50-54,3519.0
2017,11,HOMBRE,55-59,3035.0
2017,11,HOMBRE,60-64,2457.0
2017,11,HOMBRE,65-69,1754.0
2017,11,HOMBRE,70-74,1216.0
2017,11,HOMBRE,75-79,861.0
2017,11,HOMBRE,80+,889.0
2017,11,MUJER,0-4,3692.0
2017,11,MUJER,10-14,3932.0
2017,11,MUJER,15-19,3436.0
2017,11,MUJER,20-24,2927.0
2017,11,MUJER,25-29,4353.0
2017,11,MUJER,30-34,4223.0
2017,11,MUJER,35-39,4088.0
2017,11,MUJER,40-44,3935.0
2017,11,MUJER,45-49,3475.0
2017,11,MUJER,5-9,4217.0
2017,11,MUJER,50-54,3176.0
2017,11,MUJER,55-59,2856.0
2017,11,MUJER,60-64,2457.0
2017,11,MUJER,65-69,1722.0
2017,11,MUJER,70-74,1149.0
2017,11,MUJER,75-79,936.0
2017,11,MUJER,80+,1332.0
2017,12,HOMBRE,0-4,5274.0
2017,12,HOMBRE,10-14,5656.0
2017,12,HOMBRE,15-19,6365.0
2017,12,HOMBRE,20-24,6386.0
2017,12,HOMBRE,25-29,7267.0
2017,12,HOMBRE,30-34,6863.0
2017,12,HOMBRE,35-39,6802.0
2017,12,HOMBRE,40-44,6198.0
2017,12,HOMBRE,45-49,5535.0
2017,12,HOMBRE,5-9,5779.0
2017,12,HOMBRE,50-54,5623.0
2017,12,HOMBRE,55-59,5547.0
2017,12,HOMBRE,60-64,4799.0
2017,12,HOMBRE,65-69,3439.0
2017,12,HOMBRE,70-74,2339.0
2017,12,HOMBRE,75-79,1535.0
2017,12,HOMBRE,80+,1719.0
2017,12,MUJER,0-4,5095.0
2017,12,MUJER,10-14,5391.0
2017,12,MUJER,15-19,5462.0
2017,12,MUJER,20-24,5597.0
2017,12,MUJER,25-29,6805.0
2017,12,MUJER,30-34,6704.0
2017,12,MUJER,35-39,6396.0
2017,12,MUJER,40-44,5864.0
2017,12,MUJER,45-49,5370.0
2017,12,MUJER,5-9,5578.0
2017,12,MUJER,50-54,5641.0
2017,12,MUJER,55-59,5372.0
2017,12,MUJER,60-64,4467.0
2017,12,MUJER,65-69,3281.0
2017,12,MUJER,70-74,2469.0
2017,12,MUJER,75-79,1936.0
2017,12,MUJER,80+,2739.0
2017,13,HOMBRE,0-4,254702.0
2017,13,HOMBRE,10-14,234309.0
2017,13,HOMBRE,15-19,258755.0
2017,13,HOMBRE,20-24,317255.0
2017,13,HOMBRE,25-29,351872.0
2017,13,HOMBRE,30-34,315050.0
2017,13,HOMBRE,35-39,285561.0
2017,13,HOMBRE,40-44,266616.0
2017,13,HOMBRE,45-49,237886.0
2017,13,HOMBRE,5-9,251681.0
2017,13,HOMBRE,50-54,226924.0
2017,13,HOMBRE,55-59,199228.0
2017,13,HOMBRE,60-64,166355.0
2017,13,HOMBRE,65-69,124000.0
2017,13,HOMBRE,70-74,83626.0
2017,13,HOMBRE,75-79,55133.0
2017,13,HOMBRE,80+,61412.0
2017,13,MUJER,0-4,245626.0
2017,13,MUJER,10-14,227927.0
2017,13,MUJER,15-19,251805.0
2017,13,MUJER,20-24,303075.0
2017,13,MUJER,25-29,332647.0
2017,13,MUJER,30-34,295864.0
2017,13,MUJER,35-39,274266.0
2017,13,MUJER,40-44,263782.0
2017,13,MUJER,45-49,245764.0
2017,13,MUJER,5-9,243786.0
2017,13,MUJER,50-54,244119.0
2017,13,MUJER,55-59,223108.0
2017,13,MUJER,60-64,194409.0
2017,13,MUJER,65-69,150895.0
