year,sheet,code,label,section,dictionary,excel_row,total_rule,age_sex_mapping,Col01,Col02,Col03,Col04,Col05,Col06,Col07,Col08,Col09,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,total_known,months,reporting_establishments,rows,rows_total_known
2022,A03,03500407,Niños/as con Tamizaje Trastorno Espectro Autista (MCHAT) alterado y  con alteración del área de lenguaje y/o Social en el control,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT),REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,211,Col01+Col02,not_applied,1020,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117,12,315,970,617
2022,A05,05990022,TRASTORNO GENERALIZADOS DEL DESARROLLO | AUTISMO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,213,Col01,A05_Col04_Col37,4640,3465,1175,753,260,1488,374,726,287,344,160,86,34,25,23,18,8,12,8,3,8,4,1,1,4,1,2,1,1,1,1,0,1,0,2,3,1,1,50,73,25,41,72,,,,,,,,4640,12,658,2297,2297
2022,A05,05990023,ASPERGER,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,214,Col01,A05_Col04_Col37,1207,899,308,57,19,261,60,299,126,193,64,51,21,19,6,4,4,9,1,1,3,3,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,3,10,1,10,22,,,,,,,,1207,12,397,873,873
2022,A05,05990024,SÍNDROME DE RETT,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,215,Col01,A05_Col04_Col37,76,29,47,0,0,2,1,6,8,3,5,6,4,0,5,2,2,3,4,2,5,0,3,1,1,2,4,1,2,0,0,0,1,0,2,1,0,0,1,0,0,0,0,,,,,,,,76,11,22,26,26
2022,A05,05990025,TRASTORNO DESINTEGRATIVO DE LA INFANCIA,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,216,Col01,A05_Col04_Col37,41,13,28,0,0,4,0,4,4,2,4,1,0,0,2,1,3,0,4,0,0,0,5,0,1,1,1,0,2,0,1,0,1,0,0,0,0,0,3,0,1,1,0,,,,,,,,41,10,24,28,28
2022,A05,05990026,TRASTONO GENERALIZADO DEL DESARROLLO NO ESPECÍFICO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,217,Col01,A05_Col04_Col37,2116,1414,702,312,127,497,180,345,184,166,126,46,20,11,16,16,6,3,9,3,8,4,4,1,5,3,7,1,4,2,1,1,3,2,1,1,1,2,12,23,11,38,28,,,,,,,,2116,12,460,1229,1229
2022,A05,05990027,TRASTORNO GENERALIZADOS DEL DESARROLLO | AUTISMO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,259,Col01,A05_Col04_Col37,831,632,199,64,22,283,84,156,39,94,29,19,5,8,0,2,4,5,1,1,0,0,1,0,0,0,3,0,1,0,10,0,0,0,0,0,0,228,0,197,1,0,12,1,23,7,,,,,831,12,307,648,648
2022,A05,05990028,ASPERGER,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,260,Col01,A05_Col04_Col37,360,277,83,5,3,55,13,85,21,97,23,13,8,7,3,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,11,0,105,0,58,0,0,4,0,0,2,,,,,360,12,181,324,324
2022,A05,05990029,SÍNDROME DE RETT,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,261,Col01,A05_Col04_Col37,24,4,20,0,0,0,0,0,0,0,1,2,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,12,0,0,0,0,0,1,44,1,3,0,0,0,0,0,0,,,,,24,10,17,18,18
2022,A05,05990030,TRASTORNO DESINTEGRATIVO DE LA INFANCIA,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2022/SA_22_V1.1-CODIGOS.xlsm,262,Col01,A05_Col04_Col37,26,8,18,1,0,2,1,3,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,7,0,3,0,1,0,0,0,1,,,,,26,7,15,15,15
