era,definition,code,patients
2019-2020,F84_historico,F89,1
2019-2020,F84_historico,F918,1
2019-2020,F84_historico,F919,1
2019-2020,F84_historico,F920,1
2019-2020,F84_historico,G048,1
2019-2020,F84_historico,G060,1
2019-2020,F84_historico,G122,1
2019-2020,F84_historico,G361,1
2019-2020,F84_historico,G439,1
2019-2020,F84_historico,F419,1
2019-2020,F84_historico,G473,1
2019-2020,F84_historico,G711,1
2019-2020,F84_historico,G800,1
2019-2020,F84_historico,G808,1
2019-2020,F84_historico,G919,1
2019-2020,F84_historico,H001,1
2019-2020,F84_historico,H024,1
2019-2020,F84_historico,H050,1
2019-2020,F84_historico,H169,1
2019-2020,F84_historico,H471,1
2019-2020,F84_historico,H509,1
2019-2020,F84_historico,F429,1
2019-2020,F84_historico,F328,1
2019-2020,F84_historico,H55,1
2019-2020,F84_historico,D649,1
2019-2020,F84_historico,A083,1
2019-2020,F84_historico,A090,1
2019-2020,F84_historico,A492,1
2019-2020,F84_historico,A86,1
2019-2020,F84_historico,B019,1
2019-2020,F84_historico,B179,1
2019-2020,F84_historico,C222,1
2019-2020,F84_historico,C73,1
2019-2020,F84_historico,D27,1
2019-2020,F84_historico,D410,1
2019-2020,F84_historico,D508,1
2019-2020,F84_historico,D65,1
2019-2020,F84_historico,F319,1
2019-2020,F84_historico,E108,1
2019-2020,F84_historico,E109,1
2019-2020,F84_historico,E711,1
2019-2020,F84_historico,E760,1
2019-2020,F84_historico,E86,1
2019-2020,F84_historico,F141,1
2019-2020,F84_historico,F209,1
2019-2020,F84_historico,F21,1
2019-2020,F84_historico,F28,1
2019-2020,F84_historico,F313,1
2019-2020,F84_historico,F316,1
2019-2020,F84_historico,H540,1
2019-2020,F84_historico,H652,1
2019-2020,F84_historico,M5492,1
2019-2020,F84_historico,K914,1
2019-2020,F84_historico,K025,1
2019-2020,F84_historico,K028,1
2019-2020,F84_historico,K044,1
2019-2020,F84_historico,K075,1
2019-2020,F84_historico,K219,1
2019-2020,F84_historico,K221,1
2019-2020,F84_historico,K222,1
2019-2020,F84_historico,K295,1
2019-2020,F84_historico,K564,1
2019-2020,F84_historico,K598,1
2019-2020,F84_historico,K800,1
2019-2020,F84_historico,L022,1
2019-2020,F84_historico,K001,1
2019-2020,F84_historico,L031,1
2019-2020,F84_historico,L040,1
2019-2020,F84_historico,L059,1
2019-2020,F84_historico,L211,1
2019-2020,F84_historico,L600,1
2019-2020,F84_historico,L732,1
2019-2020,F84_historico,M2106,1
2019-2020,F84_historico,M2117,1
2019-2020,F84_historico,M2318,1
