era,definition,sex,age_group,comuna_norm,persons
2019-2020,autismo_F840,HOMBRE,15-19,ANGOL,1
2019-2020,autismo_F840,HOMBRE,15-19,ANTOFAGASTA,4
2019-2020,autismo_F840,HOMBRE,15-19,ARICA,2
2019-2020,autismo_F840,HOMBRE,15-19,BUIN,1
2019-2020,autismo_F840,HOMBRE,15-19,BULNES,3
2019-2020,autismo_F840,HOMBRE,15-19,CALERA,1
2019-2020,autismo_F840,HOMBRE,15-19,CERRO NAVIA,1
2019-2020,autismo_F840,HOMBRE,15-19,CHAITEN,1
2019-2020,autismo_F840,HOMBRE,15-19,CHIGUAYANTE,3
2019-2020,autismo_F840,HOMBRE,15-19,CHILLAN,3
2019-2020,autismo_F840,HOMBRE,15-19,CHILLAN VIEJO,1
2019-2020,autismo_F840,HOMBRE,15-19,COIHAIQUE,3
2019-2020,autismo_F840,HOMBRE,15-19,COLINA,1
2019-2020,autismo_F840,HOMBRE,15-19,CONCEPCION,5
2019-2020,autismo_F840,HOMBRE,15-19,COQUIMBO,1
2019-2020,autismo_F840,HOMBRE,15-19,CORONEL,4
2019-2020,autismo_F840,HOMBRE,15-19,CURACO DE VELEZ,1
2019-2020,autismo_F840,HOMBRE,15-19,CURICO,1
2019-2020,autismo_F840,HOMBRE,15-19,DONIHUE,1
2019-2020,autismo_F840,HOMBRE,15-19,EL MONTE,1
2019-2020,autismo_F840,HOMBRE,15-19,ESTACION CENTRAL,3
2019-2020,autismo_F840,HOMBRE,15-19,FREIRINA,1
2019-2020,autismo_F840,HOMBRE,15-19,FUTRONO,1
2019-2020,autismo_F840,HOMBRE,15-19,HUALAIHUE,1
2019-2020,autismo_F840,HOMBRE,15-19,HUALPEN,1
2019-2020,autismo_F840,HOMBRE,15-19,INDEPENDENCIA,3
2019-2020,autismo_F840,HOMBRE,15-19,IQUIQUE,3
2019-2020,autismo_F840,HOMBRE,15-19,LA CISTERNA,1
2019-2020,autismo_F840,HOMBRE,15-19,LA PINTANA,1
2019-2020,autismo_F840,HOMBRE,15-19,LA SERENA,1
2019-2020,autismo_F840,HOMBRE,15-19,LAJA,1
2019-2020,autismo_F840,HOMBRE,15-19,LAMPA,1
2019-2020,autismo_F840,HOMBRE,15-19,LAS CABRAS,1
2019-2020,autismo_F840,HOMBRE,15-19,LAUTARO,1
2019-2020,autismo_F840,HOMBRE,15-19,LINARES,2
2019-2020,autismo_F840,HOMBRE,15-19,LOS ANGELES,1
2019-2020,autismo_F840,HOMBRE,15-19,MACUL,2
2019-2020,autismo_F840,HOMBRE,15-19,MAFIL,1
2019-2020,autismo_F840,HOMBRE,15-19,MAIPU,3
2019-2020,autismo_F840,HOMBRE,15-19,MELIPILLA,1
2019-2020,autismo_F840,HOMBRE,15-19,MOSTAZAL,1
2019-2020,autismo_F840,HOMBRE,15-19,NOGALES,1
2019-2020,autismo_F840,HOMBRE,15-19,NUNOA,1
2019-2020,autismo_F840,HOMBRE,15-19,OLMUE,1
2019-2020,autismo_F840,HOMBRE,15-19,OSORNO,3
2019-2020,autismo_F840,HOMBRE,15-19,OVALLE,2
2019-2020,autismo_F840,HOMBRE,15-19,PADRE HURTADO,2
2019-2020,autismo_F840,HOMBRE,15-19,PADRE LAS CASAS,2
2019-2020,autismo_F840,HOMBRE,15-19,PARRAL,2
2019-2020,autismo_F840,HOMBRE,15-19,PEDRO AGUIRRE CERDA,1
2019-2020,autismo_F840,HOMBRE,15-19,PENAFLOR,1
2019-2020,autismo_F840,HOMBRE,15-19,PENALOLEN,1
2019-2020,autismo_F840,HOMBRE,15-19,PICA,1
2019-2020,autismo_F840,HOMBRE,15-19,PICHILEMU,1
2019-2020,autismo_F840,HOMBRE,15-19,PITRUFQUEN,2
2019-2020,autismo_F840,HOMBRE,15-19,PROVIDENCIA,1
2019-2020,autismo_F840,HOMBRE,15-19,PUDAHUEL,1
2019-2020,autismo_F840,HOMBRE,15-19,PUENTE ALTO,10
2019-2020,autismo_F840,HOMBRE,15-19,PUERTO MONTT,3
2019-2020,autismo_F840,HOMBRE,15-19,PUNTA ARENAS,7
2019-2020,autismo_F840,HOMBRE,15-19,QUILLOTA,1
2019-2020,autismo_F840,HOMBRE,15-19,QUILPUE,2
2019-2020,autismo_F840,HOMBRE,15-19,RANCAGUA,2
2019-2020,autismo_F840,HOMBRE,15-19,RECOLETA,1
2019-2020,autismo_F840,HOMBRE,15-19,RENCA,1
2019-2020,autismo_F840,HOMBRE,15-19,RINCONADA,1
2019-2020,autismo_F840,HOMBRE,15-19,RIO BUENO,1
2019-2020,autismo_F840,HOMBRE,15-19,SAN ANTONIO,1
2019-2020,autismo_F840,HOMBRE,15-19,SAN BERNARDO,4
2019-2020,autismo_F840,HOMBRE,15-19,SAN JOAQUIN,2
2019-2020,autismo_F840,HOMBRE,15-19,SAN JOSE DE MAIPO,1
2019-2020,autismo_F840,HOMBRE,15-19,SAN NICOLAS,1
2019-2020,autismo_F840,HOMBRE,15-19,SAN PEDRO DE LA PAZ,1
2019-2020,autismo_F840,HOMBRE,15-19,SAN RAMON,1
2019-2020,autismo_F840,HOMBRE,15-19,SANTA JUANA,1
2019-2020,autismo_F840,HOMBRE,15-19,TALCA,1
2019-2020,autismo_F840,HOMBRE,15-19,TALCAHUANO,4
2019-2020,autismo_F840,HOMBRE,15-19,TEMUCO,7
2019-2020,autismo_F840,HOMBRE,15-19,TREGUACO,2
2019-2020,autismo_F840,HOMBRE,15-19,VALDIVIA,1
2019-2020,autismo_F840,HOMBRE,15-19,VALPARAISO,4
2019-2020,autismo_F840,HOMBRE,15-19,VICTORIA,1
2019-2020,autismo_F840,HOMBRE,15-19,VILLA ALEMANA,3
2019-2020,autismo_F840,HOMBRE,15-19,VILLARRICA,1
2019-2020,autismo_F840,HOMBRE,15-19,VINA DEL MAR,1
2019-2020,autismo_F840,HOMBRE,20-24,ANTOFAGASTA,2
2019-2020,autismo_F840,HOMBRE,20-24,ARICA,2
2019-2020,autismo_F840,HOMBRE,20-24,BULNES,1
2019-2020,autismo_F840,HOMBRE,20-24,CALBUCO,1
2019-2020,autismo_F840,HOMBRE,20-24,CHIGUAYANTE,1
2019-2020,autismo_F840,HOMBRE,20-24,CHILLAN,3
2019-2020,autismo_F840,HOMBRE,20-24,COCHRANE,1
2019-2020,autismo_F840,HOMBRE,20-24,CONCEPCION,1
2019-2020,autismo_F840,HOMBRE,20-24,COQUIMBO,1
2019-2020,autismo_F840,HOMBRE,20-24,CORONEL,1
2019-2020,autismo_F840,HOMBRE,20-24,FRUTILLAR,1
2019-2020,autismo_F840,HOMBRE,20-24,HUALPEN,2
2019-2020,autismo_F840,HOMBRE,20-24,IQUIQUE,1
2019-2020,autismo_F840,HOMBRE,20-24,LA SERENA,1
2019-2020,autismo_F840,HOMBRE,20-24,LAUTARO,1
2019-2020,autismo_F840,HOMBRE,20-24,MAIPU,1
2019-2020,autismo_F840,HOMBRE,20-24,MARIQUINA,1
2019-2020,autismo_F840,HOMBRE,20-24,MOSTAZAL,1
2019-2020,autismo_F840,HOMBRE,20-24,MULCHEN,1
2019-2020,autismo_F840,HOMBRE,20-24,NATALES,1
2019-2020,autismo_F840,HOMBRE,20-24,PENAFLOR,1
2019-2020,autismo_F840,HOMBRE,20-24,PENALOLEN,1
2019-2020,autismo_F840,HOMBRE,20-24,PITRUFQUEN,1
2019-2020,autismo_F840,HOMBRE,20-24,PUENTE ALTO,1
2019-2020,autismo_F840,HOMBRE,20-24,PUERTO MONTT,1
2019-2020,autismo_F840,HOMBRE,20-24,PUERTO VARAS,1
2019-2020,autismo_F840,HOMBRE,20-24,PUNTA ARENAS,1
2019-2020,autismo_F840,HOMBRE,20-24,SAN BERNARDO,1
2019-2020,autismo_F840,HOMBRE,20-24,SANTA MARIA,1
2019-2020,autismo_F840,HOMBRE,20-24,VALDIVIA,2
2019-2020,autismo_F840,HOMBRE,20-24,VALPARAISO,2
2019-2020,autismo_F840,HOMBRE,20-24,VICTORIA,2
2019-2020,autismo_F840,HOMBRE,20-24,VINA DEL MAR,1
2019-2020,autismo_F840,HOMBRE,25-29,ANTOFAGASTA,2
2019-2020,autismo_F840,HOMBRE,25-29,CALAMA,1
2019-2020,autismo_F840,HOMBRE,25-29,CALBUCO,1
2019-2020,autismo_F840,HOMBRE,25-29,CHILLAN,3
2019-2020,autismo_F840,HOMBRE,25-29,CURICO,1
2019-2020,autismo_F840,HOMBRE,25-29,LA FLORIDA,1
2019-2020,autismo_F840,HOMBRE,25-29,LA SERENA,1
2019-2020,autismo_F840,HOMBRE,25-29,LO PRADO,2
2019-2020,autismo_F840,HOMBRE,25-29,LONCOCHE,1
2019-2020,autismo_F840,HOMBRE,25-29,NIQUEN,1
2019-2020,autismo_F840,HOMBRE,25-29,OVALLE,1
2019-2020,autismo_F840,HOMBRE,25-29,PENAFLOR,1
2019-2020,autismo_F840,HOMBRE,25-29,PENALOLEN,1
2019-2020,autismo_F840,HOMBRE,25-29,PUDAHUEL,1
2019-2020,autismo_F840,HOMBRE,25-29,PUENTE ALTO,2
2019-2020,autismo_F840,HOMBRE,25-29,PUNTA ARENAS,2
2019-2020,autismo_F840,HOMBRE,25-29,SAN ANTONIO,1
2019-2020,autismo_F840,HOMBRE,25-29,SAN BERNARDO,2
2019-2020,autismo_F840,HOMBRE,25-29,SAN CARLOS,1
2019-2020,autismo_F840,HOMBRE,25-29,TEMUCO,2
2019-2020,autismo_F840,HOMBRE,25-29,TOME,1
2019-2020,autismo_F840,HOMBRE,25-29,VALPARAISO,2
2019-2020,autismo_F840,HOMBRE,25-29,VILLARRICA,1
2019-2020,autismo_F840,HOMBRE,30-34,ANTOFAGASTA,2
2019-2020,autismo_F840,HOMBRE,30-34,CABRERO,1
2019-2020,autismo_F840,HOMBRE,30-34,CAMINA,1
2019-2020,autismo_F840,HOMBRE,30-34,CERRO NAVIA,1
2019-2020,autismo_F840,HOMBRE,30-34,CON CON,1
2019-2020,autismo_F840,HOMBRE,30-34,CONCEPCION,1
2019-2020,autismo_F840,HOMBRE,30-34,CORONEL,1
2019-2020,autismo_F840,HOMBRE,30-34,HUALPEN,1
2019-2020,autismo_F840,HOMBRE,30-34,HUALQUI,1
2019-2020,autismo_F840,HOMBRE,30-34,LA FLORIDA,1
2019-2020,autismo_F840,HOMBRE,30-34,LA GRANJA,1
2019-2020,autismo_F840,HOMBRE,30-34,PAILLACO,1
2019-2020,autismo_F840,HOMBRE,30-34,PICHILEMU,1
2019-2020,autismo_F840,HOMBRE,30-34,PUDAHUEL,1
2019-2020,autismo_F840,HOMBRE,30-34,PUNTA ARENAS,1
2019-2020,autismo_F840,HOMBRE,30-34,QUINTA NORMAL,1
2019-2020,autismo_F840,HOMBRE,30-34,QUINTERO,1
2019-2020,autismo_F840,HOMBRE,30-34,RANCAGUA,1
2019-2020,autismo_F840,HOMBRE,30-34,SAN ANTONIO,1
2019-2020,autismo_F840,HOMBRE,30-34,SANTIAGO,1
2019-2020,autismo_F840,HOMBRE,30-34,TALAGANTE,1
2019-2020,autismo_F840,HOMBRE,30-34,TALCAHUANO,1
2019-2020,autismo_F840,HOMBRE,30-34,TEMUCO,2
2019-2020,autismo_F840,HOMBRE,30-34,VITACURA,1
2019-2020,autismo_F840,HOMBRE,35-39,ANGOL,1
