era,definition,code,patients
2019-2020,autismo_F840,F500,1
2019-2020,autismo_F840,F452,1
2019-2020,autismo_F840,F450,1
2019-2020,autismo_F840,F449,1
2019-2020,autismo_F840,F444,1
2019-2020,autismo_F840,F418,1
2019-2020,autismo_F840,F411,1
2019-2020,autismo_F840,F402,1
2019-2020,autismo_F840,F331,1
2019-2020,autismo_F840,F321,1
2019-2020,autismo_F840,F320,1
2019-2020,autismo_F840,F318,1
2019-2020,autismo_F840,F316,1
2019-2020,autismo_F840,F313,1
2019-2020,autismo_F840,F311,1
2019-2020,autismo_F840,F21,1
2019-2020,autismo_F840,F200,1
2019-2020,autismo_F840,G002,1
2019-2020,autismo_F840,G048,1
2019-2020,autismo_F840,F061,1
2019-2020,autismo_F840,G049,1
2019-2020,autismo_F840,H653,1
2019-2020,autismo_F840,H612,1
2019-2020,autismo_F840,H508,1
2019-2020,autismo_F840,H501,1
2019-2020,autismo_F840,H46,1
2019-2020,autismo_F840,H428,1
2019-2020,autismo_F840,H332,1
2019-2020,autismo_F840,H268,1
2019-2020,autismo_F840,G919,1
2019-2020,autismo_F840,G911,1
2019-2020,autismo_F840,G901,1
2019-2020,autismo_F840,G820,1
2019-2020,autismo_F840,G808,1
2019-2020,autismo_F840,G710,1
2019-2020,autismo_F840,G610,1
2019-2020,autismo_F840,G448,1
2019-2020,autismo_F840,G438,1
2019-2020,autismo_F840,G412,1
2019-2020,autismo_F840,G373,1
2019-2020,autismo_F840,G248,1
2019-2020,autismo_F840,G240,1
2019-2020,autismo_F840,G121,1
2019-2020,autismo_F840,G119,1
2019-2020,autismo_F840,G062,1
2019-2020,autismo_F840,G060,1
2019-2020,autismo_F840,F141,1
2019-2020,autismo_F840,F059,1
2019-2020,autismo_F840,N138,1
2019-2020,autismo_F840,D233,1
2019-2020,autismo_F840,D177,1
2019-2020,autismo_F840,D037,1
2019-2020,autismo_F840,C950,1
2019-2020,autismo_F840,C929,1
2019-2020,autismo_F840,C73,1
2019-2020,autismo_F840,C719,1
2019-2020,autismo_F840,C717,1
2019-2020,autismo_F840,C710,1
2019-2020,autismo_F840,C504,1
2019-2020,autismo_F840,C159,1
2019-2020,autismo_F840,B678,1
2019-2020,autismo_F840,B349,1
2019-2020,autismo_F840,B348,1
2019-2020,autismo_F840,B270,1
2019-2020,autismo_F840,B24,1
2019-2020,autismo_F840,B09,1
2019-2020,autismo_F840,B07,1
2019-2020,autismo_F840,B019,1
2019-2020,autismo_F840,B002,1
2019-2020,autismo_F840,A492,1
2019-2020,autismo_F840,A448,1
2019-2020,autismo_F840,A150,1
2019-2020,autismo_F840,A082,1
2019-2020,autismo_F840,A058,1
2019-2020,autismo_F840,A031,1
2019-2020,autismo_F840,D232,1
2019-2020,autismo_F840,D330,1
2019-2020,autismo_F840,E876,1
2019-2020,autismo_F840,D34,1
2019-2020,autismo_F840,E872,1
2019-2020,autismo_F840,E871,1
2019-2020,autismo_F840,E46,1
2019-2020,autismo_F840,E301,1
2019-2020,autismo_F840,E230,1
2019-2020,autismo_F840,E161,1
2019-2020,autismo_F840,E141,1
2019-2020,autismo_F840,E115,1
2019-2020,autismo_F840,E108,1
2019-2020,autismo_F840,D848,1
2019-2020,autismo_F840,D801,1
2019-2020,autismo_F840,D763,1
2019-2020,autismo_F840,D733,1
2019-2020,autismo_F840,D696,1
2019-2020,autismo_F840,D692,1
2019-2020,autismo_F840,D681,1
2019-2020,autismo_F840,D593,1
2019-2020,autismo_F840,D589,1
2019-2020,autismo_F840,D509,1
2019-2020,autismo_F840,D485,1
2019-2020,autismo_F840,D481,1
2019-2020,autismo_F840,D434,1
2019-2020,autismo_F840,D430,1
2019-2020,autismo_F840,D410,1
2019-2020,autismo_F840,D381,1
2019-2020,autismo_F840,H659,1
2019-2020,autismo_F840,H663,1
2019-2020,autismo_F840,H664,1
2019-2020,autismo_F840,L282,1
2019-2020,autismo_F840,L059,1
2019-2020,autismo_F840,L029,1
2019-2020,autismo_F840,L010,1
2019-2020,autismo_F840,K929,1
2019-2020,autismo_F840,K853,1
2019-2020,autismo_F840,K759,1
2019-2020,autismo_F840,K754,1
2019-2020,autismo_F840,K739,1
2019-2020,autismo_F840,K720,1
2019-2020,autismo_F840,K659,1
2019-2020,autismo_F840,K649,1
2019-2020,autismo_F840,K639,1
2019-2020,autismo_F840,K635,1
2019-2020,autismo_F840,K625,1
2019-2020,autismo_F840,K621,1
2019-2020,autismo_F840,K565,1
2019-2020,autismo_F840,A021,1
2019-2020,autismo_F840,K559,1
2019-2020,autismo_F840,K550,1
2019-2020,autismo_F840,K510,1
2019-2020,autismo_F840,K500,1
2019-2020,autismo_F840,K409,1
2019-2020,autismo_F840,K388,1
2019-2020,autismo_F840,K297,1
2019-2020,autismo_F840,K295,1
2019-2020,autismo_F840,L088,1
2019-2020,autismo_F840,L720,1
2019-2020,autismo_F840,H700,1
2019-2020,autismo_F840,L83,1
2019-2020,autismo_F840,N137,1
2019-2020,autismo_F840,N048,1
2019-2020,autismo_F840,N041,1
2019-2020,autismo_F840,M8793,1
2019-2020,autismo_F840,M8698,1
2019-2020,autismo_F840,M8695,1
2019-2020,autismo_F840,M8589,1
2019-2020,autismo_F840,M8565,1
2019-2020,autismo_F840,M8407,1
2019-2020,autismo_F840,M7958,1
2019-2020,autismo_F840,M7046,1
2019-2020,autismo_F840,M673,1
2019-2020,autismo_F840,M4646,1
2019-2020,autismo_F840,M4144,1
2019-2020,autismo_F840,M4140,1
