year,sheet,code,label,section,dictionary,excel_row,total_rule,age_sex_mapping
2023,A03,09600219,Requiere derivación,SECCIÓN F: TAMIZAJE TRASTORNO ESPECTRO AUTISTA  (MCHAT-RF),REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,224,Col01+Col02,not_applied
2023,A05,05990022,TRASTORNO GENERALIZADOS DEL DESARROLLO | AUTISMO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,221,Col01,A05_Col04_Col37
2023,A05,05990023,ASPERGER,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,222,Col01,A05_Col04_Col37
2023,A05,05990024,SÍNDROME DE RETT,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,223,Col01,A05_Col04_Col37
2023,A05,05990025,TRASTORNO DESINTEGRATIVO DE LA INFANCIA,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,224,Col01,A05_Col04_Col37
2023,A05,05990026,TRASTONO GENERALIZADO DEL DESARROLLO NO ESPECÍFICO,SECCIÓN N: INGRESOS AL PROGRAMA DE SALUD  MENTAL EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,225,Col01,A05_Col04_Col37
2023,A05,05990027,TRASTORNO GENERALIZADOS DEL DESARROLLO | AUTISMO,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,269,Col01,A05_Col04_Col37
2023,A05,05990028,ASPERGER,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,270,Col01,A05_Col04_Col37
2023,A05,05990029,SÍNDROME DE RETT,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,271,Col01,A05_Col04_Col37
2023,A05,05990030,TRASTORNO DESINTEGRATIVO DE LA INFANCIA,SECCIÓN O: EGRESOS DEL PROGRAMA DE SALUD  MENTAL POR ALTAS CLÍNICAS EN APS /ESPECIALIDAD,REM/SerieA/metadata/diccionarios/2023/DICCIONARIO CODIGOS SA_23_V1.4.xlsm,272,Col01,A05_Col04_Col37
