year,code,IdServicio,IdRegion,IdComuna,IdEstablecimiento,months_with_rows,rows,rows_total_known,months_positive,total_known,Col01
2017,05225000,2,1,01107,102307,1,1,1,1,1,1
2017,05225000,2,1,01107,102602,1,1,1,1,2,2
2017,05225000,20,8,08301,120101,1,1,1,1,1,1
2017,05225000,20,8,08301,120407,1,1,1,1,1,1
2017,05225000,20,8,08301,120780,1,1,1,1,1,1
2017,05225000,20,8,08304,120105,1,1,1,0,0,0
2017,05225000,20,8,08304,120419,1,1,1,0,0,0
2017,05225000,20,8,08306,120103,1,1,1,0,0,0
2017,05225000,21,9,09101,121303,5,5,5,3,5,5
2017,05225000,21,9,09101,121306,2,2,2,2,2,2
2017,05225000,21,9,09110,121311,1,1,1,1,1,1
2017,05225000,21,9,09112,121308,1,1,1,1,1,1
2017,05225000,21,9,09112,121602,3,3,3,1,1,1
2017,05225000,21,9,09112,200207,2,2,2,1,1,1
2017,05225000,21,9,09114,121117,2,2,2,2,2,2
2017,05225000,21,9,09114,121353,1,1,1,1,1,1
2017,05225000,21,9,09115,121355,2,2,2,2,6,6
2017,05225000,21,9,09120,121334,1,1,1,1,2,2
2017,05225000,21,9,09120,121781,1,1,1,1,2,2
2017,05225000,22,14,14101,122302,1,1,1,1,2,2
2017,05225000,22,14,14101,122601,1,1,1,1,1,1
2017,05225000,22,14,14101,122602,4,4,4,4,5,5
2017,05225000,22,14,14106,122303,1,1,1,1,1,1
2017,05225000,22,14,14108,122308,1,1,1,0,0,0
2017,05225000,22,14,14108,122425,1,1,1,1,1,1
2017,05225000,22,14,14201,122310,1,1,1,1,1,1
2017,05225000,23,10,10307,123436,1,1,1,1,1,1
2017,05225000,24,10,10101,124315,1,1,1,1,1,1
2017,05225000,24,10,10101,124705,1,1,1,1,1,1
2017,05225000,24,10,10102,124396,4,4,4,4,4,4
2017,05225000,24,10,10403,124380,1,1,1,1,1,1
2017,05225000,25,11,11101,200256,1,1,1,1,1,1
2017,05225000,25,11,11201,125101,1,1,1,0,0,0
2017,05225000,26,12,12401,126305,1,1,1,1,1,1
2017,05225000,28,8,08201,128110,1,1,1,1,1,1
2017,05225000,28,8,08202,128613,3,3,3,3,4,4
2017,05225000,28,8,08203,128111,3,3,3,3,3,3
2017,05225000,28,8,08203,128611,2,2,2,2,2,2
2017,05225000,28,8,08205,128109,2,2,2,1,1,1
2017,05225000,29,9,09201,129100,6,6,6,6,11,11
2017,05225000,29,9,09204,129302,1,1,1,0,0,0
2017,05225000,29,9,09206,129102,1,1,1,1,1,1
2017,05225000,29,9,09210,129104,2,2,2,1,1,1
2017,05225000,29,9,09211,129106,1,1,1,1,1,1
2017,05225000,3,2,02101,103300,3,3,3,1,3,3
2017,05225000,3,2,02101,103301,1,1,1,1,2,2
2017,05225000,3,2,02101,103303,4,4,4,4,5,5
2017,05225000,3,2,02101,103304,4,4,4,2,2,2
2017,05225000,3,2,02101,103602,8,8,8,4,9,9
2017,05225000,3,2,02101,103603,6,6,6,6,8,8
2017,05225000,3,2,02101,200216,1,1,1,0,0,0
2017,05225000,3,2,02101,200289,1,1,1,1,1,1
2017,05225000,3,2,02201,103307,1,1,1,1,1,1
2017,05225000,3,2,02201,103707,1,1,1,1,1,1
2017,05225000,33,10,10203,133345,4,4,4,4,7,7
2017,05225000,33,10,10208,133396,1,1,1,1,1,1
2017,05225000,33,10,10208,133796,1,1,1,1,1,1
2017,05225000,4,3,03101,104306,2,2,2,2,2,2
2017,05225000,4,3,03302,104403,1,1,1,1,1,1
2017,05225000,4,3,03302,104404,1,1,1,1,3,3
2017,05225000,4,3,03303,104314,1,1,1,1,1,1
2017,05225000,5,4,04101,105100,6,6,6,6,9,9
2017,05225000,5,4,04101,105300,3,3,3,0,0,0
