definition,unit,role,year,count_men,count_women,asr_men,asr_women,asr_ratio,asr_ratio_lo,asr_ratio_hi,count_ratio,count_ratio_lo,count_ratio_hi
autismo_F840,records,cualquiera,2021,1422.0,425.0,18.85324116094334,5.874148614477454,3.2095274393428785,2.878714297779666,3.5783566267204776,3.3458823529411763,3.0001763704683233,3.7375925594151984
autismo_F840,records,cualquiera,2022,2302.0,759.0,31.046907480988047,10.550366313537273,2.9427326557516276,2.7100100685410085,3.19544033572139,3.0329380764163374,2.7928251365936716,3.296570279413895
autismo_F840,records,cualquiera,2023,3780.0,1543.0,51.244513909774625,21.28783479051212,2.407220575227972,2.268255185349843,2.5546997248050576,2.4497731691510047,2.3083090580429286,2.600881041533626
autismo_F840,records,cualquiera,2024,4911.0,2316.0,66.65457930151902,31.65122062567208,2.1059086500902895,2.0039606209420198,2.2130431088213576,2.1204663212435233,2.017831565423414,2.228815627840284
autismo_F840,records,principal,2019,127.0,23.0,1.6859005930969826,0.32460392337567995,5.193716008003414,3.3287877648860706,8.103456236031358,5.521739130434782,3.522027705187678,9.024866539540666
autismo_F840,records,principal,2020,92.0,22.0,1.202284293684045,0.2970754984453837,4.047066486383699,2.5384789091649678,6.4521895715091375,4.181818181818182,2.6039955336040284,6.995430471266031
autismo_F840,records,principal,2021,112.0,27.0,1.4194509197803868,0.3828089114737658,3.7079881821864613,2.4331689920488917,5.650728085128492,4.148148148148148,2.7052527513691476,6.570980222559271
autismo_F840,records,principal,2022,155.0,47.0,2.0233920877167653,0.6370262452306751,3.1763088300766475,2.289607454839241,4.406405020519663,3.297872340425532,2.3656466910072425,4.673769022394071
autismo_F840,records,principal,2023,183.0,70.0,2.4030634658865146,0.9709987018912652,2.47483695004529,1.8775966411283038,3.262052027121696,2.6142857142857143,1.9745250522873707,3.4946197953696925
autismo_F840,records,principal,2024,182.0,97.0,2.3852249022223853,1.3268745231255654,1.79762657331289,1.4042218872968406,2.301246922807392,1.8762886597938144,1.4586100748947501,2.426042550891663
autismo_F840,records,solo_secundario,2019,968.0,281.0,12.998924912286926,3.8919890549739335,3.3399181571886474,2.922975382958778,3.816335013203813,3.4448398576512456,3.0133100845780567,3.9482623487055237
autismo_F840,records,solo_secundario,2020,741.0,229.0,9.890222452706425,3.1333682420622413,3.1564188083418907,2.7197178851282557,3.6632401280048974,3.2358078602620086,2.7864278831541296,3.7692581094822293
