series,year,cut_region,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing,period,region
05990022,2023.0,9,MUJER,127.0,526440.0,24.124306663627383,20.111347513662388,28.70334796958877,32.35138158047595,26.953823720783866,38.56975422786472,8.2927146523089,0.0,2023,La Araucanía
05990022,2023.0,9,TOTAL,455.0,1028201.0,44.25204799450691,40.2788560483998,48.511169687490295,58.37341263934689,53.11715840591801,64.03115426603618,7.5333764521553235,0.0,2023,La Araucanía
05990022,2023.0,10,HOMBRE,285.0,451199.0,63.165033610446834,56.043806029138295,70.94048345370157,86.23241039939171,76.47981938208869,96.92513052604666,26.26177834878823,0.0,2023,Los Lagos
05990022,2023.0,10,MUJER,140.0,456230.0,30.686276658702848,25.813859507978496,36.21100988553384,41.37663502029429,34.77019456402835,48.93933865410174,12.3716726963773,0.0,2023,Los Lagos
05990022,2023.0,10,TOTAL,425.0,907429.0,46.83562019728265,42.48813266470485,51.507265705887214,64.23010306887156,58.2423135311854,70.69004644929684,9.792951625075185,0.0,2023,Los Lagos
05990022,2023.0,11,HOMBRE,87.0,54592.0,159.36400937866355,127.64403856942356,196.57491680561955,195.42097632738634,156.26790909469153,242.25026689593201,445.1141284098824,0.0,2023,Aysén
05990022,2023.0,11,MUJER,38.0,53714.0,70.74505715455933,50.063412974636314,97.10311821733553,93.77265896697868,66.07331982054494,130.1494235350916,236.74004114052238,0.0,2023,Aysén
05990022,2023.0,11,TOTAL,125.0,108306.0,115.41373515779365,96.06937664810835,137.5102551538535,145.98694562941134,121.33163950356936,174.61039649507552,173.2371630659247,0.0,2023,Aysén
05990022,2023.0,12,HOMBRE,31.0,92686.0,33.44625941350366,22.725110565934287,47.47429547423424,46.456210756189144,31.49817996562114,66.43822828625964,70.3129151270582,0.0,2023,Magallanes
05990022,2023.0,12,MUJER,9.0,89531.0,10.052384090426779,4.5965901166951495,19.082556267012727,13.370082460273887,6.023388712903962,26.195925848985016,20.496355369633317,0.0,2023,Magallanes
