year,cut_region,age,population
2023,9,5,12472.0
2023,10,0,10049.0
2023,10,1,10122.0
2023,10,2,10190.0
2023,10,3,10255.0
2023,10,4,10324.0
2023,10,5,10484.0
2023,11,0,1276.0
2023,11,1,1294.0
2023,11,2,1318.0
2023,11,3,1341.0
2023,11,4,1361.0
2023,11,5,1385.0
2023,12,0,1933.0
2023,12,1,1948.0
2023,12,2,1957.0
2023,12,3,1959.0
2023,12,4,1954.0
2023,12,5,1956.0
2023,13,0,105562.0
2023,13,1,105304.0
2023,13,2,104295.0
2023,13,3,101919.0
2023,13,4,98890.0
2023,13,5,97627.0
2023,14,0,4385.0
2023,14,1,4411.0
2023,14,2,4439.0
2023,14,3,4466.0
2023,14,4,4497.0
2023,14,5,4559.0
2023,15,0,3173.0
2023,15,1,3183.0
2023,15,2,3188.0
2023,15,3,3179.0
2023,15,4,3162.0
2023,15,5,3183.0
2023,16,0,5192.0
2023,16,1,5300.0
2023,16,2,5412.0
2023,16,3,5530.0
2023,16,4,5652.0
2023,16,5,5796.0
2024,1,0,6029.0
2024,1,1,6031.0
2024,1,2,6014.0
2024,1,3,5961.0
2024,1,4,5838.0
2024,1,5,5666.0
2024,2,0,9868.0
2024,2,1,9883.0
2024,2,2,9838.0
2024,2,3,9683.0
2024,2,4,9358.0
2024,2,5,8918.0
2024,3,0,4028.0
2024,3,1,4072.0
2024,3,2,4111.0
2024,3,3,4132.0
2024,3,4,4135.0
2024,3,5,4123.0
2024,4,0,9979.0
2024,4,1,10049.0
2024,4,2,10145.0
2024,4,3,10229.0
2024,4,4,10293.0
2024,4,5,10345.0
2024,5,0,21402.0
2024,5,1,21527.0
2024,5,2,21660.0
2024,5,3,21799.0
2024,5,4,21874.0
2024,5,5,21963.0
2024,6,0,11109.0
2024,6,1,11277.0
2024,6,2,11477.0
2024,6,3,11648.0
2024,6,4,11794.0
2024,6,5,11930.0
2024,7,0,12981.0
2024,7,1,13140.0
2024,7,2,13317.0
2024,7,3,13495.0
2024,7,4,13652.0
2024,7,5,13840.0
2024,8,0,18013.0
2024,8,1,18176.0
2024,8,2,18330.0
2024,8,3,18458.0
2024,8,4,18583.0
2024,8,5,18731.0
2024,9,0,11488.0
2024,9,1,11627.0
2024,9,2,11790.0
2024,9,3,11960.0
2024,9,4,12132.0
2024,9,5,12315.0
2024,10,0,9989.0
2024,10,1,10057.0
2024,10,2,10144.0
2024,10,3,10212.0
2024,10,4,10278.0
2024,10,5,10342.0
2024,11,0,1268.0
2024,11,1,1287.0
2024,11,2,1307.0
2024,11,3,1328.0
2024,11,4,1349.0
2024,11,5,1367.0
2024,12,0,1926.0
2024,12,1,1939.0
2024,12,2,1957.0
2024,12,3,1964.0
2024,12,4,1964.0
2024,12,5,1956.0
2024,13,0,104957.0
2024,13,1,105014.0
2024,13,2,104715.0
2024,13,3,103706.0
2024,13,4,101321.0
2024,13,5,98326.0
2024,14,0,4366.0
2024,14,1,4408.0
2024,14,2,4437.0
2024,14,3,4467.0
2024,14,4,4494.0
2024,14,5,4524.0
2024,15,0,3154.0
2024,15,1,3174.0
2024,15,2,3184.0
2024,15,3,3189.0
2024,15,4,3180.0
2024,15,5,3161.0
2024,16,0,5158.0
2024,16,1,5269.0
2024,16,2,5396.0
2024,16,3,5513.0
2024,16,4,5625.0
2024,16,5,5734.0
