year,code,IdRegion,IdComuna,Col01,Col02,Col03,total_known,rows,rows_total_known,reporting_establishments
2018,05225000,12,12101,8,7,1,8,5,5,2
2018,05225000,12,12401,4,4,0,4,2,2,1
2018,05225000,13,13101,32,25,7,32,16,16,2
2018,05225000,13,13102,0,0,0,0,5,5,2
2018,05225000,13,13103,2,1,1,2,2,2,1
2018,05225000,13,13104,8,7,1,8,9,9,4
2018,05225000,13,13105,2,2,0,2,2,2,1
2018,05225000,13,13107,0,0,0,0,1,1,1
2018,05225000,13,13108,6,4,2,6,9,9,3
2018,05225000,13,13109,0,0,0,0,1,1,1
2018,05225000,13,13110,57,33,24,57,20,20,7
2018,05225000,13,13111,2,1,1,2,2,2,2
2018,05225000,13,13112,2,2,0,2,2,2,2
2018,05225000,13,13113,3,1,2,3,2,2,2
2018,05225000,13,13114,4,3,1,4,2,2,2
2018,05225000,13,13116,1,1,0,1,4,4,4
2018,05225000,13,13117,5,4,1,5,4,4,2
2018,05225000,13,13118,13,10,3,13,9,9,2
2018,05225000,13,13119,17,14,3,17,12,12,5
2018,05225000,13,13120,17,10,7,17,7,7,3
2018,05225000,13,13121,6,5,1,6,8,8,2
2018,05225000,13,13122,17,13,4,17,12,12,3
2018,05225000,13,13123,5,2,3,5,5,5,5
2018,05225000,13,13124,10,7,3,10,8,8,3
2018,05225000,13,13125,6,3,3,6,6,6,3
2018,05225000,13,13126,4,2,2,4,4,4,3
2018,05225000,13,13127,9,7,2,9,7,7,5
2018,05225000,13,13128,20,17,3,20,13,13,5
2018,05225000,13,13129,8,5,3,8,7,7,4
2018,05225000,13,13130,1,1,0,1,2,2,1
2018,05225000,13,13131,13,11,2,13,6,6,2
2018,05225000,13,13132,3,3,0,3,2,2,1
2018,05225000,13,13201,59,28,31,59,15,15,6
2018,05225000,13,13301,7,4,3,7,4,4,3
2018,05225000,13,13302,8,8,0,8,5,5,2
2018,05225000,13,13303,1,0,1,1,1,1,1
2018,05225000,13,13401,22,16,6,22,14,14,8
2018,05225000,13,13402,27,22,5,27,24,24,6
2018,05225000,13,13404,5,5,0,5,5,5,1
