era,definition,window,position,group,patients
2021-2024,autismo_F840,365d,principal,Lenguaje_aprendizaje_desarrollo,4
2021-2024,autismo_F840,all,principal,Signos_desarrollo_habla,4
2021-2024,autismo_F840,730d,principal,Signos_desarrollo_habla,3
2021-2024,autismo_F840,365d,principal,Signos_desarrollo_habla,1
2021-2024,TEA_operacional,all,any,Animo_ansiedad_estres,485
2021-2024,TEA_operacional,730d,any,Animo_ansiedad_estres,443
2021-2024,TEA_operacional,all,any,Epilepsia,382
2021-2024,TEA_operacional,365d,any,Animo_ansiedad_estres,356
2021-2024,TEA_operacional,730d,any,Epilepsia,328
2021-2024,TEA_operacional,365d,any,Epilepsia,245
2021-2024,TEA_operacional,all,any,Signos_desarrollo_habla,224
2021-2024,TEA_operacional,all,any,Lenguaje_aprendizaje_desarrollo,222
2021-2024,TEA_operacional,all,principal,Animo_ansiedad_estres,217
2021-2024,TEA_operacional,730d,principal,Animo_ansiedad_estres,196
2021-2024,TEA_operacional,730d,any,Signos_desarrollo_habla,189
2021-2024,TEA_operacional,730d,any,Lenguaje_aprendizaje_desarrollo,185
2021-2024,TEA_operacional,all,principal,Epilepsia,178
2021-2024,TEA_operacional,365d,principal,Animo_ansiedad_estres,164
2021-2024,TEA_operacional,all,any,Conducta_emociones_infancia,152
2021-2024,TEA_operacional,730d,principal,Epilepsia,146
2021-2024,TEA_operacional,all,any,Discapacidad_intelectual,142
2021-2024,TEA_operacional,365d,any,Lenguaje_aprendizaje_desarrollo,133
2021-2024,TEA_operacional,730d,any,Conducta_emociones_infancia,131
2021-2024,TEA_operacional,365d,any,Signos_desarrollo_habla,125
2021-2024,TEA_operacional,730d,any,Discapacidad_intelectual,124
2021-2024,TEA_operacional,all,any,Hiperactividad_atencion,102
2021-2024,TEA_operacional,365d,any,Discapacidad_intelectual,95
2021-2024,TEA_operacional,365d,any,Conducta_emociones_infancia,93
2021-2024,TEA_operacional,365d,principal,Epilepsia,91
2021-2024,TEA_operacional,730d,any,Hiperactividad_atencion,87
2021-2024,TEA_operacional,all,any,Psicosis,81
2021-2024,TEA_operacional,all,any,Audicion,75
2021-2024,TEA_operacional,730d,any,Psicosis,75
2021-2024,TEA_operacional,365d,any,Hiperactividad_atencion,67
2021-2024,TEA_operacional,730d,any,Audicion,64
2021-2024,TEA_operacional,all,principal,Psicosis,60
2021-2024,TEA_operacional,365d,any,Psicosis,56
2021-2024,TEA_operacional,730d,principal,Psicosis,55
2021-2024,TEA_operacional,365d,any,Audicion,45
2021-2024,TEA_operacional,all,principal,Conducta_emociones_infancia,43
2021-2024,TEA_operacional,365d,principal,Psicosis,40
2021-2024,TEA_operacional,730d,principal,Conducta_emociones_infancia,36
2021-2024,TEA_operacional,365d,principal,Conducta_emociones_infancia,29
2021-2024,TEA_operacional,all,principal,Audicion,20
2021-2024,TEA_operacional,730d,principal,Audicion,15
2021-2024,TEA_operacional,all,principal,Discapacidad_intelectual,14
2021-2024,TEA_operacional,730d,principal,Discapacidad_intelectual,13
2021-2024,TEA_operacional,365d,principal,Audicion,9
2021-2024,TEA_operacional,all,principal,Hiperactividad_atencion,8
2021-2024,TEA_operacional,all,principal,Lenguaje_aprendizaje_desarrollo,8
2021-2024,TEA_operacional,365d,principal,Discapacidad_intelectual,7
2021-2024,TEA_operacional,730d,principal,Hiperactividad_atencion,6
2021-2024,TEA_operacional,730d,principal,Lenguaje_aprendizaje_desarrollo,6
2021-2024,TEA_operacional,365d,principal,Lenguaje_aprendizaje_desarrollo,5
2021-2024,TEA_operacional,365d,principal,Hiperactividad_atencion,5
