cut_comuna,comuna,comuna_norm,cut_region,region,region_short,continental
10109,Puerto Varas,PUERTO VARAS,10,Los Lagos,Los Lagos,True
10201,Castro,CASTRO,10,Los Lagos,Los Lagos,True
10202,Ancud,ANCUD,10,Los Lagos,Los Lagos,True
10203,Chonchi,CHONCHI,10,Los Lagos,Los Lagos,True
10204,Curaco de Vélez,CURACO DE VELEZ,10,Los Lagos,Los Lagos,True
10205,Dalcahue,DALCAHUE,10,Los Lagos,Los Lagos,True
10206,Puqueldón,PUQUELDON,10,Los Lagos,Los Lagos,True
10207,Queilén,QUEILEN,10,Los Lagos,Los Lagos,True
10208,Quellón,QUELLON,10,Los Lagos,Los Lagos,True
10209,Quemchi,QUEMCHI,10,Los Lagos,Los Lagos,True
10210,Quinchao,QUINCHAO,10,Los Lagos,Los Lagos,True
10301,Osorno,OSORNO,10,Los Lagos,Los Lagos,True
10302,Puerto Octay,PUERTO OCTAY,10,Los Lagos,Los Lagos,True
10303,Purranque,PURRANQUE,10,Los Lagos,Los Lagos,True
10304,Puyehue,PUYEHUE,10,Los Lagos,Los Lagos,True
10305,Río Negro,RIO NEGRO,10,Los Lagos,Los Lagos,True
10306,San Juan de la Costa,SAN JUAN DE LA COSTA,10,Los Lagos,Los Lagos,True
10307,San Pablo,SAN PABLO,10,Los Lagos,Los Lagos,True
10401,Chaitén,CHAITEN,10,Los Lagos,Los Lagos,True
10402,Futaleufú,FUTALEUFU,10,Los Lagos,Los Lagos,True
10403,Hualaihué,HUALAIHUE,10,Los Lagos,Los Lagos,True
10404,Palena,PALENA,10,Los Lagos,Los Lagos,True
11101,Coyhaique,COYHAIQUE,11,Aysén del General Carlos Ibáñez del Campo,Aysén,True
11102,Lago Verde,LAGO VERDE,11,Aysén del General Carlos Ibáñez del Campo,Aysén,True
11201,Aysén,AYSEN,11,Aysén del General Carlos Ibáñez del Campo,Aysén,True
11202,Cisnes,CISNES,11,Aysén del General Carlos Ibáñez del Campo,Aysén,True
11203,Guaitecas,GUAITECAS,11,Aysén del General Carlos Ibáñez del Campo,Aysén,True
11301,Cochrane,COCHRANE,11,Aysén del General Carlos Ibáñez del Campo,Aysén,True
11302,O'Higgins,O HIGGINS,11,Aysén del General Carlos Ibáñez del Campo,Aysén,True
11303,Tortel,TORTEL,11,Aysén del General Carlos Ibáñez del Campo,Aysén,True
11401,Chile Chico,CHILE CHICO,11,Aysén del General Carlos Ibáñez del Campo,Aysén,True
11402,Río Ibáñez,RIO IBANEZ,11,Aysén del General Carlos Ibáñez del Campo,Aysén,True
12101,Punta Arenas,PUNTA ARENAS,12,Magallanes y de la Antártica Chilena,Magallanes,True
12102,Laguna Blanca,LAGUNA BLANCA,12,Magallanes y de la Antártica Chilena,Magallanes,True
12103,Río Verde,RIO VERDE,12,Magallanes y de la Antártica Chilena,Magallanes,True
