era,definition,window,position,code,patients
2019-2020,autismo_F840,730d,any,F89,3
2019-2020,autismo_F840,365d,any,F608,3
2019-2020,autismo_F840,all,any,Z886,3
2019-2020,autismo_F840,730d,principal,C629,3
2019-2020,autismo_F840,all,any,Z904,3
2019-2020,autismo_F840,all,any,Z905,3
2019-2020,autismo_F840,all,any,F431,3
2019-2020,autismo_F840,all,any,Z911,3
2019-2020,autismo_F840,730d,principal,F432,3
2019-2020,autismo_F840,730d,principal,F431,3
2019-2020,autismo_F840,all,principal,D70,3
2019-2020,autismo_F840,730d,any,L209,3
2019-2020,autismo_F840,365d,any,E559,3
2019-2020,autismo_F840,all,any,F608,3
2019-2020,autismo_F840,730d,any,J121,3
2019-2020,autismo_F840,all,any,Z928,3
2019-2020,autismo_F840,365d,any,F323,3
2019-2020,autismo_F840,365d,any,N189,3
2019-2020,autismo_F840,365d,any,N179,3
2019-2020,autismo_F840,365d,any,E668,3
2019-2020,autismo_F840,730d,any,K358,3
2019-2020,autismo_F840,365d,any,N10,3
2019-2020,autismo_F840,365d,any,L209,3
2019-2020,autismo_F840,all,any,G808,3
2019-2020,autismo_F840,all,principal,C629,3
2019-2020,autismo_F840,all,principal,F919,3
2019-2020,autismo_F840,730d,any,G808,3
2019-2020,autismo_F840,all,any,F801,3
2019-2020,autismo_F840,730d,principal,D70,3
2019-2020,autismo_F840,730d,any,J069,3
2019-2020,autismo_F840,365d,any,J304,3
2019-2020,autismo_F840,730d,any,F801,3
2019-2020,autismo_F840,all,principal,N390,3
2019-2020,autismo_F840,all,principal,F431,3
2019-2020,autismo_F840,all,principal,T850,3
2019-2020,autismo_F840,365d,any,J069,3
2019-2020,autismo_F840,all,any,F323,3
2019-2020,autismo_F840,730d,principal,F919,3
2019-2020,autismo_F840,730d,any,J981,3
2019-2020,autismo_F840,730d,any,R441,2
2019-2020,autismo_F840,all,any,N288,2
2019-2020,autismo_F840,all,principal,J189,2
2019-2020,autismo_F840,730d,principal,Z048,2
2019-2020,autismo_F840,365d,principal,F431,2
