era,definition,index_year,index_role,sex,age_band,patients,prior_hospitalization,prior_candidate_group,age_median
2019-2020,autismo_F840,2020,principal,HOMBRE,15-19,14,2,1,17.474332648870636
2019-2020,autismo_F840,2020,principal,HOMBRE,20+,7,1,1,25.00479123887748
2019-2020,autismo_F840,2020,principal,HOMBRE,5-9,11,0,0,7.241615331964408
2019-2020,autismo_F840,2020,principal,MUJER,0-4,2,1,0,4.5201916495551
2019-2020,autismo_F840,2020,principal,MUJER,10-14,7,1,1,13.067761806981519
2019-2020,autismo_F840,2020,principal,MUJER,15-19,4,0,0,16.86789869952088
2019-2020,autismo_F840,2020,principal,MUJER,20+,3,0,0,21.930184804928132
2019-2020,autismo_F840,2020,principal,MUJER,5-9,2,0,0,6.154688569472963
2019-2020,autismo_F840,2020,solo_secundario,HOMBRE,0-4,123,18,10,3.6249144421629023
2019-2020,autismo_F840,2020,solo_secundario,HOMBRE,10-14,148,19,10,12.271047227926077
2019-2020,autismo_F840,2020,solo_secundario,HOMBRE,15-19,50,12,7,16.417522245037645
2019-2020,autismo_F840,2020,solo_secundario,HOMBRE,20+,40,9,2,28.850102669404517
2019-2020,autismo_F840,2020,solo_secundario,HOMBRE,5-9,194,31,15,6.9281314168377826
2019-2020,autismo_F840,2020,solo_secundario,MUJER,0-4,37,12,8,4.008213552361396
2019-2020,autismo_F840,2020,solo_secundario,MUJER,10-14,44,9,6,12.45037645448323
2019-2020,autismo_F840,2020,solo_secundario,MUJER,15-19,18,8,5,16.695414099931554
2019-2020,autismo_F840,2020,solo_secundario,MUJER,20+,16,5,4,33.42505133470226
2019-2020,autismo_F840,2020,solo_secundario,MUJER,5-9,50,7,1,7.687885010266941
2019-2020,TEA_operacional,2019,principal,HOMBRE,0-4,15,1,1,3.436002737850787
2019-2020,TEA_operacional,2019,principal,HOMBRE,10-14,34,2,1,13.359342915811087
2019-2020,TEA_operacional,2019,principal,HOMBRE,15-19,25,1,0,16.37782340862423
2019-2020,TEA_operacional,2019,principal,HOMBRE,20+,25,2,1,23.808350444900753
2019-2020,TEA_operacional,2019,principal,HOMBRE,5-9,25,2,1,7.83025325119781
2019-2020,TEA_operacional,2019,principal,MUJER,0-4,5,2,2,3.1293634496919918
2019-2020,TEA_operacional,2019,principal,MUJER,10-14,13,0,0,12.640657084188911
2019-2020,TEA_operacional,2019,principal,MUJER,15-19,5,0,0,15.93429158110883
2019-2020,TEA_operacional,2019,principal,MUJER,20+,5,0,0,24.810403832991103
2019-2020,TEA_operacional,2019,principal,MUJER,5-9,3,0,0,8.2217659137577
2019-2020,TEA_operacional,2019,principal_y_secundario,HOMBRE,0-4,1,0,0,3.512662559890486
2019-2020,TEA_operacional,2019,principal_y_secundario,HOMBRE,20+,1,0,0,21.366187542778917
2019-2020,TEA_operacional,2019,solo_secundario,HOMBRE,0-4,348,71,41,3.5154004106776178
2019-2020,TEA_operacional,2019,solo_secundario,HOMBRE,10-14,281,26,14,12.27378507871321
2019-2020,TEA_operacional,2019,solo_secundario,HOMBRE,15-19,127,8,8,16.999315537303218
2019-2020,TEA_operacional,2019,solo_secundario,HOMBRE,20+,129,13,8,27.906913073237508
2019-2020,TEA_operacional,2019,solo_secundario,HOMBRE,5-9,444,18,6,7.422313483915127
2019-2020,TEA_operacional,2019,solo_secundario,MUJER,0-4,138,40,29,2.8487337440109517
2019-2020,TEA_operacional,2019,solo_secundario,MUJER,10-14,94,7,5,12.53388090349076
2019-2020,TEA_operacional,2019,solo_secundario,MUJER,15-19,37,4,2,17.114305270362767
2019-2020,TEA_operacional,2019,solo_secundario,MUJER,20+,45,8,3,30.86652977412731
2019-2020,TEA_operacional,2019,solo_secundario,MUJER,5-9,100,7,6,6.962354551676934
2019-2020,TEA_operacional,2020,principal,HOMBRE,0-4,8,0,0,3.378507871321013
2019-2020,TEA_operacional,2020,principal,HOMBRE,10-14,15,2,2,12.446269678302533
2019-2020,TEA_operacional,2020,principal,HOMBRE,15-19,14,0,0,17.779603011635864
2019-2020,TEA_operacional,2020,principal,HOMBRE,20+,11,0,0,25.00479123887748
2019-2020,TEA_operacional,2020,principal,HOMBRE,5-9,15,1,0,7.241615331964408
2019-2020,TEA_operacional,2020,principal,MUJER,0-4,2,1,0,4.5201916495551
2019-2020,TEA_operacional,2020,principal,MUJER,10-14,7,1,1,13.067761806981519
2019-2020,TEA_operacional,2020,principal,MUJER,15-19,5,0,0,17.672826830937716
2019-2020,TEA_operacional,2020,principal,MUJER,20+,4,0,0,21.946611909650926
