era,definition,first_principal,last_prior_principal,index_role,patients
2019-2020,TEA_operacional,K358,K358,solo_secundario,2
2019-2020,TEA_operacional,P220,P220,solo_secundario,2
2019-2020,TEA_operacional,G410,G410,solo_secundario,2
2019-2020,TEA_operacional,Q234,Q234,solo_secundario,2
2019-2020,TEA_operacional,P590,P590,solo_secundario,2
2019-2020,TEA_operacional,T432,T432,solo_secundario,2
2019-2020,TEA_operacional,N47,N47,solo_secundario,2
2019-2020,TEA_operacional,J159,J159,solo_secundario,2
2019-2020,TEA_operacional,N390,N390,solo_secundario,2
2019-2020,TEA_operacional,J351,J351,solo_secundario,2
2019-2020,TEA_operacional,K859,K859,solo_secundario,2
2019-2020,TEA_operacional,K029,K029,solo_secundario,2
2019-2020,TEA_operacional,K590,K590,solo_secundario,2
2019-2020,TEA_operacional,S5250,S5250,solo_secundario,2
2019-2020,TEA_operacional,A080,A080,solo_secundario,2
2019-2020,TEA_operacional,Q531,Q531,solo_secundario,2
2019-2020,TEA_operacional,A419,A419,solo_secundario,2
2019-2020,TEA_operacional,C910,Z511,solo_secundario,2
2019-2020,TEA_operacional,T751,T751,solo_secundario,2
2019-2020,TEA_operacional,D480,D480,solo_secundario,2
2019-2020,TEA_operacional,O821,O821,solo_secundario,1
2019-2020,TEA_operacional,P071,J189,solo_secundario,1
2019-2020,TEA_operacional,O993,O993,solo_secundario,1
2019-2020,TEA_operacional,O991,O991,solo_secundario,1
2019-2020,TEA_operacional,Z432,J981,solo_secundario,1
2019-2020,TEA_operacional,N831,N831,solo_secundario,1
2019-2020,TEA_operacional,P219,P219,solo_secundario,1
2019-2020,TEA_operacional,N480,Q643,solo_secundario,1
2019-2020,TEA_operacional,Z478,Z478,solo_secundario,1
2019-2020,TEA_operacional,Z511,A099,solo_secundario,1
2019-2020,TEA_operacional,N44,N44,solo_secundario,1
2019-2020,TEA_operacional,Z511,Z511,solo_secundario,1
2019-2020,TEA_operacional,Z518,H024,solo_secundario,1
2019-2020,TEA_operacional,N390,L022,solo_secundario,1
2019-2020,TEA_operacional,P210,P210,solo_secundario,1
2019-2020,TEA_operacional,Z138,Z518,solo_secundario,1
2019-2020,TEA_operacional,Z139,Z139,solo_secundario,1
2019-2020,TEA_operacional,N179,N311,solo_secundario,1
2019-2020,TEA_operacional,P915,J209,solo_secundario,1
2019-2020,TEA_operacional,P90,J069,solo_secundario,1
2019-2020,TEA_operacional,P77,K598,solo_secundario,1
2019-2020,TEA_operacional,P704,J120,solo_secundario,1
2019-2020,TEA_operacional,P599,Z033,solo_secundario,1
2019-2020,TEA_operacional,P599,P599,solo_secundario,1
2019-2020,TEA_operacional,P599,A090,solo_secundario,1
2019-2020,TEA_operacional,P598,P598,solo_secundario,1
2019-2020,TEA_operacional,Z138,G409,solo_secundario,1
2019-2020,TEA_operacional,P398,P398,solo_secundario,1
2019-2020,TEA_operacional,P369,M8618,solo_secundario,1
2019-2020,TEA_operacional,P290,P290,solo_secundario,1
2019-2020,TEA_operacional,P285,Z540,solo_secundario,1
2019-2020,TEA_operacional,P238,J208,solo_secundario,1
2019-2020,TEA_operacional,P228,G409,solo_secundario,1
2019-2020,TEA_operacional,N258,C910,solo_secundario,1
2019-2020,TEA_operacional,M8793,M8793,solo_secundario,1
2019-2020,TEA_operacional,N10,J159,solo_secundario,1
