year,definition,role,month,records
2019,F84_historico,solo_secundario,7.0,186
2019,F84_historico,solo_secundario,8.0,209
2019,F84_historico,solo_secundario,9.0,184
2019,F84_historico,solo_secundario,10.0,186
2019,F84_historico,solo_secundario,11.0,173
2019,F84_historico,solo_secundario,12.0,201
2020,F84_historico,principal,1.0,20
2020,F84_historico,principal,2.0,18
2020,F84_historico,principal,3.0,16
2020,F84_historico,principal,4.0,8
2020,F84_historico,principal,5.0,10
2020,F84_historico,principal,6.0,4
2020,F84_historico,principal,7.0,18
2020,F84_historico,principal,8.0,14
2020,F84_historico,principal,9.0,17
2020,F84_historico,principal,10.0,11
2020,F84_historico,principal,11.0,11
2020,F84_historico,principal,12.0,8
2020,F84_historico,principal_y_secundario,1.0,5
2020,F84_historico,principal_y_secundario,10.0,2
2020,F84_historico,principal_y_secundario,11.0,1
2020,F84_historico,solo_secundario,1.0,210
2020,F84_historico,solo_secundario,2.0,188
2020,F84_historico,solo_secundario,3.0,136
2020,F84_historico,solo_secundario,4.0,96
2020,F84_historico,solo_secundario,5.0,79
2020,F84_historico,solo_secundario,6.0,72
2020,F84_historico,solo_secundario,7.0,70
2020,F84_historico,solo_secundario,8.0,105
2020,F84_historico,solo_secundario,9.0,97
2020,F84_historico,solo_secundario,10.0,125
2020,F84_historico,solo_secundario,11.0,162
2020,F84_historico,solo_secundario,12.0,130
2021,F84_historico,principal,1.0,6
2021,F84_historico,principal,2.0,9
2021,F84_historico,principal,3.0,15
2021,F84_historico,principal,4.0,10
2021,F84_historico,principal,5.0,14
2021,F84_historico,principal,6.0,13
2021,F84_historico,principal,7.0,23
2021,F84_historico,principal,8.0,18
2021,F84_historico,principal,9.0,20
2021,F84_historico,principal,10.0,16
2021,F84_historico,principal,11.0,23
2021,F84_historico,principal,12.0,19
2021,F84_historico,principal_y_secundario,1.0,1
2021,F84_historico,principal_y_secundario,3.0,1
2021,F84_historico,principal_y_secundario,9.0,1
2021,F84_historico,solo_secundario,1.0,165
2021,F84_historico,solo_secundario,2.0,112
2021,F84_historico,solo_secundario,3.0,169
2021,F84_historico,solo_secundario,4.0,173
2021,F84_historico,solo_secundario,5.0,172
2021,F84_historico,solo_secundario,6.0,160
2021,F84_historico,solo_secundario,7.0,184
2021,F84_historico,solo_secundario,8.0,217
2021,F84_historico,solo_secundario,9.0,216
2021,F84_historico,solo_secundario,10.0,199
2021,F84_historico,solo_secundario,11.0,254
2021,F84_historico,solo_secundario,12.0,189
2022,F84_historico,principal,1.0,23
2022,F84_historico,principal,2.0,18
2022,F84_historico,principal,3.0,34
2022,F84_historico,principal,4.0,32
2022,F84_historico,principal,5.0,21
2022,F84_historico,principal,6.0,24
2022,F84_historico,principal,7.0,18
2022,F84_historico,principal,8.0,30
2022,F84_historico,principal,9.0,23
2022,F84_historico,principal,10.0,16
2022,F84_historico,principal,11.0,29
2022,F84_historico,principal,12.0,28
2022,F84_historico,principal_y_secundario,1.0,1
2022,F84_historico,principal_y_secundario,2.0,1
2022,F84_historico,principal_y_secundario,4.0,1
2022,F84_historico,principal_y_secundario,5.0,1
2022,F84_historico,principal_y_secundario,6.0,2
2022,F84_historico,principal_y_secundario,8.0,1
2022,F84_historico,principal_y_secundario,10.0,1
2022,F84_historico,solo_secundario,1.0,224
2022,F84_historico,solo_secundario,2.0,174
2022,F84_historico,solo_secundario,3.0,279
2022,F84_historico,solo_secundario,4.0,293
2022,F84_historico,solo_secundario,5.0,304
2022,F84_historico,solo_secundario,6.0,295
2022,F84_historico,solo_secundario,7.0,260
2022,F84_historico,solo_secundario,8.0,340
2022,F84_historico,solo_secundario,9.0,324
2022,F84_historico,solo_secundario,10.0,376
2022,F84_historico,solo_secundario,11.0,389
2022,F84_historico,solo_secundario,12.0,350
2023,F84_historico,principal,1.0,27
2023,F84_historico,principal,2.0,24
2023,F84_historico,principal,3.0,27
2023,F84_historico,principal,4.0,30
2023,F84_historico,principal,5.0,29
2023,F84_historico,principal,6.0,21
2023,F84_historico,principal,7.0,25
2023,F84_historico,principal,8.0,38
2023,F84_historico,principal,9.0,33
2023,F84_historico,principal,10.0,31
2023,F84_historico,principal,11.0,44
2023,F84_historico,principal,12.0,28
2023,F84_historico,principal_y_secundario,1.0,2
2023,F84_historico,principal_y_secundario,4.0,2
2023,F84_historico,principal_y_secundario,5.0,1
2023,F84_historico,principal_y_secundario,8.0,2
2023,F84_historico,principal_y_secundario,9.0,2
2023,F84_historico,solo_secundario,1.0,420
2023,F84_historico,solo_secundario,2.0,328
2023,F84_historico,solo_secundario,3.0,483
2023,F84_historico,solo_secundario,4.0,484
2023,F84_historico,solo_secundario,5.0,511
2023,F84_historico,solo_secundario,6.0,461
2023,F84_historico,solo_secundario,7.0,518
2023,F84_historico,solo_secundario,8.0,593
2023,F84_historico,solo_secundario,9.0,513
2023,F84_historico,solo_secundario,10.0,618
2023,F84_historico,solo_secundario,11.0,653
2023,F84_historico,solo_secundario,12.0,525
2024,F84_historico,principal,1.0,31
2024,F84_historico,principal,2.0,21
2024,F84_historico,principal,3.0,40
2024,F84_historico,principal,4.0,36
2024,F84_historico,principal,5.0,39
2024,F84_historico,principal,6.0,34
2024,F84_historico,principal,7.0,30
2024,F84_historico,principal,8.0,35
2024,F84_historico,principal,9.0,27
2024,F84_historico,principal,10.0,28
2024,F84_historico,principal,11.0,30
2024,F84_historico,principal,12.0,33
2024,F84_historico,principal,,2
2024,F84_historico,principal_y_secundario,1.0,2
2024,F84_historico,principal_y_secundario,2.0,2
2024,F84_historico,principal_y_secundario,3.0,1
2024,F84_historico,principal_y_secundario,4.0,2
2024,F84_historico,principal_y_secundario,6.0,2
2024,F84_historico,principal_y_secundario,8.0,2
2024,F84_historico,principal_y_secundario,9.0,1
2024,F84_historico,principal_y_secundario,10.0,2
2024,F84_historico,principal_y_secundario,11.0,1
2024,F84_historico,solo_secundario,1.0,620
2024,F84_historico,solo_secundario,2.0,517
2024,F84_historico,solo_secundario,3.0,663
2024,F84_historico,solo_secundario,4.0,717
2024,F84_historico,solo_secundario,5.0,697
2024,F84_historico,solo_secundario,6.0,601
2024,F84_historico,solo_secundario,7.0,780
2024,F84_historico,solo_secundario,8.0,774
2024,F84_historico,solo_secundario,9.0,704
2024,F84_historico,solo_secundario,10.0,883
2024,F84_historico,solo_secundario,11.0,779
2024,F84_historico,solo_secundario,12.0,681
2024,F84_historico,solo_secundario,,1
