definition,role,TIPO_ACTIVIDAD,age_band,n,mean,sd,median,q25,q75,p90,max,total_days,n_los0
F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),10-14,467,0.029978586723768737,0.17071108405314295,0.0,0.0,0.0,0.0,1.0,14.0,453
F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),15-19,158,0.11392405063291139,0.31872923525328506,0.0,0.0,0.0,1.0,1.0,18.0,140
F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),20-29,101,0.1485148514851485,0.35738322886955365,0.0,0.0,0.0,1.0,1.0,15.0,86
F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),30-44,50,0.2,0.40406101782088427,0.0,0.0,0.0,1.0,1.0,10.0,40
F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),45+,18,0.1111111111111111,0.32338083338177726,0.0,0.0,0.0,0.3000000000000007,1.0,2.0,16
F84_historico,solo_secundario,CIRUGÍA MAYOR AMBULATORIA (CMA),5-9,1327,0.01808590806330068,0.13331241787258719,0.0,0.0,0.0,0.0,1.0,24.0,1303
F84_historico,solo_secundario,HOSPITALIZACIÓN,0-4,4701,7.538396085939162,40.64504973523969,3.0,1.0,5.0,10.0,1463.0,35438.0,526
F84_historico,solo_secundario,HOSPITALIZACIÓN,10-14,5375,7.708093023255814,15.658068270505336,4.0,1.0,8.0,19.0,686.0,41431.0,528
F84_historico,solo_secundario,HOSPITALIZACIÓN,15-19,2791,11.542816194912218,21.65695922705359,6.0,2.0,14.0,28.0,621.0,32216.0,210
F84_historico,solo_secundario,HOSPITALIZACIÓN,20-29,1429,13.100769769069279,29.46523243377232,6.0,2.0,14.0,29.200000000000045,742.0,18721.0,74
F84_historico,solo_secundario,HOSPITALIZACIÓN,30-44,626,13.282747603833865,30.507361830853114,5.0,2.0,14.0,29.0,552.0,8315.0,37
F84_historico,solo_secundario,HOSPITALIZACIÓN,45+,239,12.807531380753138,19.357879689294162,7.0,3.0,14.0,33.0,173.0,3061.0,7
F84_historico,solo_secundario,HOSPITALIZACIÓN,5-9,6037,4.595494450886202,11.685478047204313,2.0,1.0,5.0,9.0,531.0,27743.0,859
F84_historico,solo_secundario,HOSPITALIZACIÓN DIURNA,0-4,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
F84_historico,solo_secundario,HOSPITALIZACIÓN DIURNA,10-14,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34
F84_historico,solo_secundario,HOSPITALIZACIÓN DIURNA,15-19,15,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,1.0,14
F84_historico,solo_secundario,HOSPITALIZACIÓN DIURNA,20-29,11,1.0,3.3166247903554,0.0,0.0,0.0,0.0,11.0,11.0,10
F84_historico,solo_secundario,HOSPITALIZACIÓN DIURNA,30-44,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
F84_historico,solo_secundario,HOSPITALIZACIÓN DIURNA,45+,1,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0
F84_historico,solo_secundario,HOSPITALIZACIÓN DIURNA,5-9,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
F84_historico,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,0-4,9,1.1111111111111112,1.2692955176439846,1.0,0.0,2.0,3.0,3.0,10.0,4
F84_historico,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,10-14,12,2.8333333333333335,3.588702812826367,1.0,0.0,4.25,7.700000000000001,11.0,34.0,4
F84_historico,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,15-19,20,2.85,3.74552364408784,2.0,0.0,4.0,4.6000000000000085,15.0,57.0,6
F84_historico,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,20-29,11,4.2727272727272725,3.9772077916777016,3.0,1.5,6.0,10.0,12.0,47.0,1
F84_historico,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,30-44,4,0.5,0.5773502691896257,0.5,0.0,1.0,1.0,1.0,2.0,2
F84_historico,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,45+,3,1.0,1.0,1.0,0.5,1.5,1.8,2.0,3.0,1
F84_historico,solo_secundario,HOSPITALIZACIÓN EN URGENCIA,5-9,17,1.0,1.1726039399558574,1.0,0.0,1.0,2.4000000000000004,4.0,17.0,7
