unit,year,cut_region,sex,count,population,crude,crude_lo,crude_hi,asr,asr_lo,asr_hi,asr_var,groups_missing,period,region
records,2021.0,15,HOMBRE,54.0,128511.0,42.019749282162614,31.56652891390212,54.82665794656544,49.14505167581806,36.82686543837048,64.47207002890083,45.459982659807935,0,2021,Arica y Parinacota
records,2021.0,15,MUJER,14.0,126869.0,11.035004611055498,6.032939706548168,18.514862670814445,13.991279783275282,7.61691923072932,23.7403831584545,14.152721040273091,0,2021,Arica y Parinacota
records,2021.0,15,TOTAL,68.0,255380.0,26.626987234709063,20.676897467547363,33.7560510439461,32.086351742930766,24.864380964391543,40.84685859268697,15.375748868743042,0,2021,Arica y Parinacota
records,2021.0,16,HOMBRE,105.0,248859.0,42.192566875218496,34.50933955383496,51.07667469082325,53.38164386405364,43.562458121185756,64.88687060647757,27.721781883880222,0,2021,Ñuble
records,2021.0,16,MUJER,50.0,265649.0,18.82182880417393,13.969924124488278,24.814234822768697,26.271231650517862,19.471045179886776,34.84525723411831,13.927392731847617,0,2021,Ñuble
records,2021.0,16,TOTAL,155.0,514508.0,30.125867819353633,25.56989437672082,35.25949207408931,39.95541316029006,33.85791520799394,46.9028081839597,10.496175989719479,0,2021,Ñuble
records,2022.0,1,HOMBRE,60.0,199973.0,30.00405054682382,22.896251468951938,38.621160559997264,34.362561301838085,26.196560165556278,44.32305991643817,19.813535152664134,0,2022,Tarapacá
records,2022.0,1,MUJER,33.0,196724.0,16.77477074479982,11.546980324073239,23.558014918957166,19.4906848169216,13.367654940362229,27.523206967879077,11.717879526814846,0,2022,Tarapacá
records,2022.0,1,TOTAL,93.0,396697.0,23.443585406494126,18.921999088283837,28.71997595780473,27.083546197498254,21.8340727267399,33.24243208801022,7.970096340587561,0,2022,Tarapacá
records,2022.0,2,HOMBRE,165.0,356913.0,46.22975346933286,39.44488349016702,53.846674290577695,56.129111872890846,47.84626175237524,65.5260200631388,19.312338743896404,0,2022,Antofagasta
records,2022.0,2,MUJER,48.0,352724.0,13.608373685941416,10.03374049497149,18.042729210977214,17.695109225274162,13.03960916818851,23.486783212502036,6.545736626801035,0,2022,Antofagasta
records,2022.0,2,TOTAL,213.0,709637.0,30.015345874017278,26.11953316793473,34.328380763812454,37.40400462184767,32.52570623984753,42.81743518910291,6.634381638239442,0,2022,Antofagasta
records,2022.0,3,HOMBRE,42.0,160468.0,26.17344268016053,18.86351530054447,35.37889098043887,30.757729361421255,22.1198432797477,41.7859475061975,22.798583172342667,0,2022,Atacama
records,2022.0,3,MUJER,12.0,157536.0,7.617306520414381,3.9359734338324053,13.305901538808248,8.960485016159668,4.595377523874989,15.924452829177413,6.821779474255785,0,2022,Atacama
records,2022.0,3,TOTAL,54.0,318004.0,16.980918479012843,12.756588587736239,22.15641513745447,20.09667014336648,15.065622891444509,26.336658058305353,7.581707477276715,0,2022,Atacama
records,2022.0,4,HOMBRE,182.0,420466.0,43.285307254332096,37.22492446029191,50.05112983698061,54.18035010752351,46.55589632554497,62.749046484192554,16.300557941734446,0,2022,Coquimbo
records,2022.0,4,MUJER,54.0,438303.0,12.320244214618654,9.255346637496151,16.075246209519605,16.413793519580068,12.308346304366811,21.516296286024453,5.047889256256258,0,2022,Coquimbo
records,2022.0,4,TOTAL,236.0,858769.0,27.481196922571726,24.08662983167688,31.220149599349778,35.60219902951819,31.18069515923958,40.50160332231762,5.431154504340218,0,2022,Coquimbo
records,2022.0,5,HOMBRE,248.0,975818.0,25.414575258910986,22.349684573263357,28.78238567064779,34.11858528580574,29.97127070067698,38.70242048615577,4.771439897332467,0,2022,Valparaíso
records,2022.0,5,MUJER,83.0,1019720.0,8.139489271564743,6.483057770545159,10.090121582127063,11.933620874020024,9.48319345727877,14.849400430803884,1.7487847735222872,0,2022,Valparaíso
records,2022.0,5,TOTAL,331.0,1995538.0,16.58700560951483,14.848024632604485,18.47370278415461,23.23312667534741,20.77645382401489,25.91197342322145,1.6596881111654462,0,2022,Valparaíso
records,2022.0,6,HOMBRE,116.0,504711.0,22.983449934715114,18.99166939127807,27.566458919717814,30.408270565156876,25.086412619168364,36.56646269144672,8.10038630866984,0,2022,O'Higgins
records,2022.0,6,MUJER,31.0,504841.0,6.140547221798546,4.172203917499144,8.71601662766074,8.520488347328742,5.764283941397861,12.182579513038707,2.389821137497559,0,2022,O'Higgins
records,2022.0,6,TOTAL,147.0,1009552.0,14.560914148057753,12.302244156403708,17.114182000803158,19.684542683192507,16.60559469784016,23.189029977626774,2.6821501869415565,0,2022,O'Higgins
records,2022.0,7,HOMBRE,167.0,565612.0,29.5255404765104,25.217236986762764,34.3588064180428,38.09053946780043,32.50973177617499,44.38900773793434,8.762103838464633,0,2022,Maule
records,2022.0,7,MUJER,28.0,587431.0,4.766517259048297,3.1673161028031434,6.888944564258304,6.776695337772039,4.493956818547237,9.84501890963901,1.654882167923005,0,2022,Maule
records,2022.0,7,TOTAL,195.0,1153043.0,16.911771720568964,14.621284486402034,19.45929425279542,22.699630042837143,19.611713121077166,26.15258558026005,2.6666440118336023,0,2022,Maule
records,2022.0,8,HOMBRE,334.0,815898.0,40.93648961022089,36.66349269541421,45.57074423770731,52.92993626671839,47.37859016290062,58.984073367055814,8.470804784886624,0,2022,Biobío
records,2022.0,8,MUJER,117.0,860371.0,13.598784710316828,11.246565462943273,16.297786559827856,19.37262457334516,15.997751466599887,23.28127811518641,3.2560315306720202,0,2022,Biobío
records,2022.0,8,TOTAL,451.0,1676269.0,26.904989592959126,24.47887598610489,29.506500640819254,36.44697460092528,33.141896176796216,40.007708624559136,2.9795397861460318,0,2022,Biobío
records,2022.0,9,HOMBRE,145.0,499978.0,29.00127605614647,24.473047075309914,34.124463118013345,36.654066090749104,30.906295906406072,43.20254499305117,9.349243537970152,0,2022,La Araucanía
records,2022.0,9,MUJER,65.0,524051.0,12.403372954159043,9.572661387772234,15.80911701644908,16.692385642819687,12.865173528253912,21.354922076056656,4.3293930099586,0,2022,La Araucanía
records,2022.0,9,TOTAL,210.0,1024029.0,20.50723172878893,17.827239926683944,23.476398025757103,26.81161819908169,23.291037516842888,30.735880713743505,3.4570698501355572,0,2022,La Araucanía
records,2022.0,10,HOMBRE,131.0,448889.0,29.183161093276958,24.39997858280127,34.62993364684066,38.30114175354213,31.99209813577384,45.54199226337986,11.316012997447958,0,2022,Los Lagos
records,2022.0,10,MUJER,40.0,453621.0,8.817933913994281,6.299661268281002,12.007523232827419,12.051459315545792,8.587670631704247,16.509597532697192,3.6821666311853347,0,2022,Los Lagos
records,2022.0,10,TOTAL,171.0,902510.0,18.947158480238446,16.213674513077823,22.009545179831296,25.38366094295217,21.7010831157041,29.538410204836453,3.8120843503325115,0,2022,Los Lagos
records,2022.0,11,HOMBRE,20.0,54524.0,36.681094563861784,22.405765507673582,56.65097553861529,46.606529171507404,28.28666420078918,73.14571315717069,111.1300855916042,0,2022,Aysén
records,2022.0,11,MUJER,11.0,53523.0,20.5519122620182,10.259440553102104,36.7730480602768,24.645855777680204,12.152735948791353,45.95626787214346,56.89222970609327,0,2022,Aysén
records,2022.0,11,TOTAL,31.0,108047.0,28.691217710811035,19.494290428370853,40.72489333646353,35.90549063355006,24.249644187366254,51.677050977374385,42.77399572913248,0,2022,Aysén
