year,definition,role,variable,value,records
2022,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN INST. PRIVADA (VOLUNTARIO),4
2022,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DE LA RED NACIONAL,29
2022,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DEL SERVICIO,31
2022,autismo_F840,solo_secundario,TIPOALTA,DOMICILIO,2699
2022,autismo_F840,solo_secundario,TIPOALTA,FALLECIDO,10
2022,autismo_F840,solo_secundario,TIPOALTA,FUGA DEL PACIENTE,7
2022,autismo_F840,solo_secundario,TIPOALTA,HOSPITALIZACIÓN DOMICILIARIA,36
2023,autismo_F840,principal,TIPOALTA,ALTA VOLUNTARIA,2
2023,autismo_F840,principal,TIPOALTA,"DERIVACIÓN A OTROS CENTROS (CÁRCEL, HOGAR DE",2
2023,autismo_F840,principal,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DEL SERVICIO,3
2023,autismo_F840,principal,TIPOALTA,DOMICILIO,246
2023,autismo_F840,solo_secundario,TIPOALTA,ALTA VOLUNTARIA,47
2023,autismo_F840,solo_secundario,TIPOALTA,"DERIVACIÓN A OTROS CENTROS (CÁRCEL, HOGAR DE",31
2023,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN INST. PRIVADA (COMPRA DE SERVICIOS,7
2023,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN INST. PRIVADA (VOLUNTARIO),5
2023,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DE LA RED NACIONAL,34
2023,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DEL SERVICIO,60
2023,autismo_F840,solo_secundario,TIPOALTA,DOMICILIO,4773
2023,autismo_F840,solo_secundario,TIPOALTA,FALLECIDO,16
2023,autismo_F840,solo_secundario,TIPOALTA,FUGA DEL PACIENTE,5
2023,autismo_F840,solo_secundario,TIPOALTA,HOSPITALIZACIÓN DOMICILIARIA,94
2024,autismo_F840,principal,TIPOALTA,ALTA VOLUNTARIA,5
2024,autismo_F840,principal,TIPOALTA,"DERIVACIÓN A OTROS CENTROS (CÁRCEL, HOGAR DE",6
2024,autismo_F840,principal,TIPOALTA,DERIVACIÓN INST. PRIVADA (VOLUNTARIO),1
2024,autismo_F840,principal,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DEL SERVICIO,1
2024,autismo_F840,principal,TIPOALTA,DOMICILIO,267
2024,autismo_F840,solo_secundario,TIPOALTA,ALTA VOLUNTARIA,79
2024,autismo_F840,solo_secundario,TIPOALTA,"DERIVACIÓN A OTROS CENTROS (CÁRCEL, HOGAR DE",21
2024,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN INST. PRIVADA (COMPRA DE SERVICIOS,12
2024,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN INST. PRIVADA (VOLUNTARIO),10
2024,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DE LA RED NACIONAL,53
2024,autismo_F840,solo_secundario,TIPOALTA,DERIVACIÓN OTRO HOSPITAL DEL SERVICIO,112
2024,autismo_F840,solo_secundario,TIPOALTA,DOMICILIO,6538
2024,autismo_F840,solo_secundario,TIPOALTA,FALLECIDO,18
2024,autismo_F840,solo_secundario,TIPOALTA,FUGA DEL PACIENTE,16
2024,autismo_F840,solo_secundario,TIPOALTA,HOSPITALIZACIÓN DOMICILIARIA,91
2019,autismo_F840,principal,ESPECIALIDAD_MEDICA,ANESTESIOLOGÍA,1
2019,autismo_F840,principal,ESPECIALIDAD_MEDICA,CIRUGÍA PEDIÁTRICA,1
2019,autismo_F840,principal,ESPECIALIDAD_MEDICA,CIRUGÍA Y TRAUMATOLOGÍA BUCOMAXILOFACIAL,1
2019,autismo_F840,principal,ESPECIALIDAD_MEDICA,MEDICINA DE URGENCIA,1
2019,autismo_F840,principal,ESPECIALIDAD_MEDICA,MEDICINA GENERAL,1
2019,autismo_F840,principal,ESPECIALIDAD_MEDICA,NEUROLOGÍA PEDIÁTRICA,26
2019,autismo_F840,principal,ESPECIALIDAD_MEDICA,OTORRINOLARINGOLOGÍA,4
2019,autismo_F840,principal,ESPECIALIDAD_MEDICA,PEDIATRÍA,53
2019,autismo_F840,principal,ESPECIALIDAD_MEDICA,PSIQUIATRÍA ADULTO,20
2019,autismo_F840,principal,ESPECIALIDAD_MEDICA,PSIQUIATRÍA PEDIÁTRICA Y DE LA ADOLESCENCIA,42
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,CARDIOLOGÍA PEDIÁTRICA,2
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,CIRUGÍA CABEZA CUELLO Y PLÁSTICA MAXILO FACIAL,16
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,CIRUGÍA CARDIOVASCULAR,1
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,CIRUGÍA GENERAL,32
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,CIRUGÍA PEDIÁTRICA,175
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,CIRUGÍA PLÁSTICA Y REPARADORA,8
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,CIRUGÍA TÓRAX,1
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,CIRUGÍA VASCULAR PERIFÉRICA,2
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,CIRUGÍA Y TRAUMATOLOGÍA BUCOMAXILOFACIAL,58
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,CUIDADOS INTENSIVOS PEDIÁTRICO,3
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,DERMATOLOGÍA,1
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,ENDOCRINOLOGÍA PEDIÁTRICA,1
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,ENFERNEDADES RESPIRATORIAS PEDIÁTRICA,6
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,GASTROENTEROLOGÍA PEDIÁTRICA,5
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,HEMATOLOGÍA,4
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,HEMATOLOGÍA ONCOLÓGICA PEDIÁTRICA,45
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,MEDICINA DE URGENCIA,3
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,MEDICINA GENERAL,6
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,MEDICINA INTENSIVA,4
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,MEDICINA INTERNA,29
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,NEFROLOGÍA PEDIÁTRICA,1
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,NEUROCIRUGÍA,3
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,NEUROCIRUGÍA PEDIÁTRICA,5
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,NEUROLOGÍA ADULTO,5
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,NEUROLOGÍA PEDIÁTRICA,84
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,OBSTETRICIA Y GINECOLOGÍA,2
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,ODONTOLOGÍA,33
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,ODONTOPEDIATRÍA,51
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,OFTALMOLOGÍA,17
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,ONCOLOGÍA MÉDICA,5
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,OTORRINOLARINGOLOGÍA,44
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,PEDIATRÍA,456
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,PSIQUIATRÍA ADULTO,37
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,PSIQUIATRÍA PEDIÁTRICA Y DE LA ADOLESCENCIA,40
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,RADIOLOGÍA INTERVENCIONAL,1
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,TRAUMATOLOGÍA Y ORTOPEDIA,52
2019,autismo_F840,solo_secundario,ESPECIALIDAD_MEDICA,UROLOGÍA,12
