Scale,Indicator,Value type,Weight definition,Period,Subset,n,Moran's I,E[I],z,Analytic p,p (999 perm.)
Comuna,REM-20 discharges,"Rate per 100,000 population",knn4,full period,all comunas,342,−0.0780,−0.0029,−2.11,0.035,0.016
Comuna,REM-20 discharges,"Rate per 100,000 population",knn8,full period,all comunas,342,−0.0148,−0.0029,−0.47,0.637,0.336
Comuna,REM-20 discharges,"Rate per 100,000 population",idw,full period,all comunas,342,−0.0201,−0.0029,−0.83,0.409,0.187
Comuna,REM-20 discharges,Crude standardised ratio,queen,full period,all comunas,342,−0.0899,−0.0029,−2.35,0.019,0.008
Comuna,REM-20 discharges,Crude standardised ratio,knn4,full period,all comunas,342,−0.0779,−0.0029,−2.11,0.035,0.016
Comuna,REM-20 discharges,Crude standardised ratio,knn8,full period,all comunas,342,−0.0148,−0.0029,−0.47,0.638,0.336
Comuna,REM-20 discharges,Crude standardised ratio,idw,full period,all comunas,342,−0.0201,−0.0029,−0.83,0.409,0.187
Comuna,REM-20 discharges,Empirical-Bayes smoothed standardised ratio,queen,full period,all comunas,342,−0.0899,−0.0029,−2.35,0.019,0.009
Comuna,REM-20 discharges,Empirical-Bayes smoothed standardised ratio,knn4,full period,all comunas,342,−0.0781,−0.0029,−2.12,0.034,0.015
Comuna,REM-20 discharges,Empirical-Bayes smoothed standardised ratio,knn8,full period,all comunas,342,−0.0149,−0.0029,−0.48,0.635,0.336
Comuna,REM-20 discharges,Empirical-Bayes smoothed standardised ratio,idw,full period,all comunas,342,−0.0202,−0.0029,−0.83,0.407,0.185
Comuna,SAE multidimensional,Observed value,queen,full period,all comunas,342,0.2927,−0.0029,7.98,< 0.001,0.001
Comuna,SAE multidimensional,Observed value,knn4,full period,all comunas,342,0.2896,−0.0029,8.24,< 0.001,0.001
Comuna,SAE multidimensional,Observed value,knn8,full period,all comunas,342,0.2314,−0.0029,9.31,< 0.001,0.001
Comuna,SAE multidimensional,Observed value,idw,full period,all comunas,342,0.1500,−0.0029,7.36,< 0.001,0.001
Comuna,SAE income,Observed value,queen,full period,all comunas,342,0.7174,−0.0029,19.45,< 0.001,0.001
Comuna,SAE income,Observed value,knn4,full period,all comunas,342,0.7172,−0.0029,20.27,< 0.001,0.001
Comuna,SAE income,Observed value,knn8,full period,all comunas,342,0.6717,−0.0029,26.79,< 0.001,0.001
Comuna,SAE income,Observed value,idw,full period,all comunas,342,0.6080,−0.0029,29.41,< 0.001,0.001
