Denominator layer,Dimension,Category,2019,2020,2021,2022,2023,2024,2025
FONASA beneficiaries (December stock),Age group,60–64,"793,936","836,125","862,583","898,538",n/e,"993,700","1,026,180"
FONASA beneficiaries (December stock),Age group,65–69,"638,549","671,577","701,695","740,220",n/e,"830,441","877,941"
FONASA beneficiaries (December stock),Age group,70–74,"521,075","532,280","545,021","563,549",n/e,"622,977","658,857"
FONASA beneficiaries (December stock),Age group,75–79,"388,307","399,014","412,686","427,936",n/e,"464,516","481,531"
FONASA beneficiaries (December stock),Age group,80+,"489,528","507,013","523,792","540,072","571,533","598,390","628,847"
FONASA beneficiaries (December stock),Age group,Age not reported,"5,590","6,202","6,865","7,737","15,658,365","13,277","13,899"
ISAPRE beneficiaries (December stock),Age group,0–4,"202,613","183,785","173,304","158,086","131,786","120,046","112,448"
ISAPRE beneficiaries (December stock),Age group,5–9,"238,024","229,326","224,771","205,155","172,840","154,126","138,833"
ISAPRE beneficiaries (December stock),Age group,10–14,"219,322","216,439","218,765","207,795","181,891","173,214","165,998"
ISAPRE beneficiaries (December stock),Age group,15–19,"207,567","198,297","195,108","182,763","161,520","154,747","149,974"
ISAPRE beneficiaries (December stock),Age group,20–24,"229,151","210,005","199,784","179,827","152,697","140,856","130,892"
ISAPRE beneficiaries (December stock),Age group,25–29,"328,096","293,917","275,771","239,273","184,649","158,774","144,262"
ISAPRE beneficiaries (December stock),Age group,30–34,"373,982","370,326","370,506","340,523","280,951","245,077","216,463"
ISAPRE beneficiaries (December stock),Age group,35–39,"339,660","334,810","336,947","320,361","287,685","276,327","267,969"
ISAPRE beneficiaries (December stock),Age group,40–44,"289,375","287,687","295,114","289,349","261,460","250,514","241,603"
ISAPRE beneficiaries (December stock),Age group,45–49,"256,776","257,031","260,259","249,755","225,676","215,511","210,709"
ISAPRE beneficiaries (December stock),Age group,50–54,"209,997","206,831","211,392","208,662","195,922","192,608","189,889"
ISAPRE beneficiaries (December stock),Age group,55–59,"185,229","185,220","185,787","178,509","163,988","156,963","152,808"
ISAPRE beneficiaries (December stock),Age group,60–64,"137,948","140,948","144,400","144,447","137,121","135,312","132,640"
ISAPRE beneficiaries (December stock),Age group,65–69,"88,287","91,684","96,872","99,447","97,135","96,497","96,368"
ISAPRE beneficiaries (December stock),Age group,70–74,"56,881","59,690","62,432","64,393","65,212","66,734","68,249"
ISAPRE beneficiaries (December stock),Age group,75–79,"34,296","36,780","39,792","42,190","43,998","45,684","47,283"
ISAPRE beneficiaries (December stock),Age group,80+,"33,763","36,197","38,965","41,172","43,579","46,893","50,734"
ISAPRE beneficiaries (December stock),Age group,not_informed,n/e,n/e,285,178,147,143,183
APS enrolled (December stock),Age group,80+,"459,889","474,226","490,337","509,339","530,427","556,633","582,098"
APS enrolled (December stock),Age group,0–9,n/e,n/e,n/e,n/e,n/e,"1,492,287","1,477,777"
APS enrolled (December stock),Age group,10–19,n/e,n/e,n/e,n/e,n/e,"2,087,953","2,148,339"
APS enrolled (December stock),Age group,20–29,n/e,n/e,n/e,n/e,n/e,"2,214,128","2,235,997"
APS enrolled (December stock),Age group,30–39,n/e,n/e,n/e,n/e,n/e,"2,416,732","2,537,530"
APS enrolled (December stock),Age group,40–49,n/e,n/e,n/e,n/e,n/e,"1,939,586","2,015,183"
APS enrolled (December stock),Age group,50–59,n/e,n/e,n/e,n/e,n/e,"1,925,730","1,950,123"
APS enrolled (December stock),Age group,60–69,n/e,n/e,n/e,n/e,n/e,"1,705,200","1,782,791"
APS enrolled (December stock),Age group,70–79,n/e,n/e,n/e,n/e,n/e,"1,006,169","1,058,382"
