Flow,Category,Code,Sex,Age group,2019,2020,2021,2022,2023,2024,2025
Entries,Autism (single code),05990022,Females,0–4,n/e,n/e,114 (449),260 (658),288 (920),"311 (1,070)",367 (952)
Entries,Autism (single code),05990022,Females,5–9,n/e,n/e,130 (449),374 (658),717 (920),"1,079 (1,070)","1,298 (952)"
Entries,Autism (single code),05990022,Females,10–14,n/e,n/e,104 (449),287 (658),698 (920),"1,121 (1,070)","1,268 (952)"
Entries,Autism (single code),05990022,Females,15–19,n/e,n/e,63 (449),160 (658),375 (920),"682 (1,070)",789 (952)
Entries,Autism (single code),05990022,Females,20–24,n/e,n/e,8 (449),34 (658),86 (920),"196 (1,070)",223 (952)
Entries,Autism (single code),05990022,Females,25–29,n/e,n/e,10 (449),23 (658),53 (920),"91 (1,070)",115 (952)
Entries,Autism (single code),05990022,Females,30–34,n/e,n/e,4 (449),8 (658),34 (920),"73 (1,070)",72 (952)
Entries,Autism (single code),05990022,Females,35–39,n/e,n/e,6 (449),8 (658),26 (920),"46 (1,070)",64 (952)
Entries,Autism (single code),05990022,Females,40–44,n/e,n/e,3 (449),8 (658),11 (920),"35 (1,070)",30 (952)
Entries,Autism (single code),05990022,Females,45–49,n/e,n/e,6 (449),1 (658),6 (920),"22 (1,070)",27 (952)
Entries,Autism (single code),05990022,Females,50–54,n/e,n/e,3 (449),4 (658),7 (920),"4 (1,070)",10 (952)
Entries,Autism (single code),05990022,Females,55–59,n/e,n/e,2 (449),2 (658),2 (920),"6 (1,070)",8 (952)
Entries,Autism (single code),05990022,Females,60–64,n/e,n/e,4 (449),1 (658),8 (920),"8 (1,070)",9 (952)
Entries,Autism (single code),05990022,Females,65–69,n/e,n/e,0 (449),1 (658),1 (920),"4 (1,070)",3 (952)
Entries,Autism (single code),05990022,Females,70–74,n/e,n/e,1 (449),1 (658),1 (920),"0 (1,070)",2 (952)
Entries,Autism (single code),05990022,Females,75–79,n/e,n/e,3 (449),2 (658),1 (920),"0 (1,070)",1 (952)
Entries,Autism (single code),05990022,Females,80+,n/e,n/e,0 (449),1 (658),1 (920),"1 (1,070)",3 (952)
Entries,Autism (single code),05990022,Females,Total,n/e,n/e,461 (449),"1,175 (658)","2,315 (920)","3,678 (1,070)","4,289 (952)"
Entries,Asperger syndrome,05990023,Males,0–4,n/e,n/e,56 (329),57 (397),52 (397),25 (312),12 (207)
Entries,Asperger syndrome,05990023,Males,5–9,n/e,n/e,205 (329),261 (397),196 (397),151 (312),100 (207)
Entries,Asperger syndrome,05990023,Males,10–14,n/e,n/e,196 (329),299 (397),282 (397),177 (312),135 (207)
Entries,Asperger syndrome,05990023,Males,15–19,n/e,n/e,138 (329),193 (397),192 (397),129 (312),101 (207)
Entries,Asperger syndrome,05990023,Males,20–24,n/e,n/e,50 (329),51 (397),67 (397),58 (312),37 (207)
Entries,Asperger syndrome,05990023,Males,25–29,n/e,n/e,19 (329),19 (397),29 (397),22 (312),14 (207)
Entries,Asperger syndrome,05990023,Males,30–34,n/e,n/e,9 (329),4 (397),16 (397),16 (312),24 (207)
Entries,Asperger syndrome,05990023,Males,35–39,n/e,n/e,7 (329),9 (397),8 (397),5 (312),3 (207)
Entries,Asperger syndrome,05990023,Males,40–44,n/e,n/e,6 (329),1 (397),3 (397),6 (312),3 (207)
Entries,Asperger syndrome,05990023,Males,45–49,n/e,n/e,6 (329),3 (397),4 (397),1 (312),3 (207)
Entries,Asperger syndrome,05990023,Males,50–54,n/e,n/e,1 (329),1 (397),4 (397),2 (312),2 (207)
Entries,Asperger syndrome,05990023,Males,55–59,n/e,n/e,1 (329),0 (397),3 (397),2 (312),1 (207)
