ICD-10 category (3 characters),2019,2020,2021,2022,2023,2024,Total 2019–2024
Q04,43 (1.8%),21 (1.3%),24 (1.0%),32 (0.8%),48 (0.7%),55 (0.6%),223
F23 — Acute and transient psychotic disorders,21 (0.9%),24 (1.5%),24 (1.0%),50 (1.3%),39 (0.6%),61 (0.7%),219
Z95,19 (0.8%),20 (1.2%),31 (1.3%),40 (1.0%),33 (0.5%),75 (0.9%),218
X64 — Intentional self-poisoning by other and unspecified drugs and medicaments,9 (0.4%),6 (0.4%),20 (0.8%),25 (0.6%),60 (0.9%),98 (1.1%),218
DES,20 (0.9%),9 (0.6%),13 (0.5%),85 (2.2%),38 (0.6%),52 (0.6%),217
F82 — Specific developmental disorder of motor function,29 (1.2%),13 (0.8%),15 (0.6%),44 (1.1%),58 (0.9%),57 (0.7%),216
"T39 — Poisoning by nonopioid analgesics, antipyretics and antirheumatics",10 (0.4%),4 (0.2%),21 (0.9%),34 (0.9%),54 (0.8%),83 (1.0%),206
G91 — Hydrocephalus,29 (1.2%),24 (1.5%),32 (1.4%),30 (0.8%),53 (0.8%),37 (0.4%),205
R57,9 (0.4%),20 (1.2%),25 (1.1%),20 (0.5%),59 (0.9%),72 (0.8%),205
L03 — Cellulitis,18 (0.8%),13 (0.8%),16 (0.7%),23 (0.6%),46 (0.7%),86 (1.0%),202
Q75,24 (1.0%),19 (1.2%),25 (1.1%),27 (0.7%),34 (0.5%),69 (0.8%),198
J10,17 (0.7%),5 (0.3%),1 (0.0%),33 (0.9%),36 (0.6%),105 (1.2%),197
J90,16 (0.7%),6 (0.4%),14 (0.6%),21 (0.5%),57 (0.9%),83 (1.0%),197
Y95,18 (0.8%),16 (1.0%),31 (1.3%),39 (1.0%),37 (0.6%),56 (0.6%),197
J69,20 (0.9%),18 (1.1%),22 (0.9%),33 (0.9%),43 (0.7%),61 (0.7%),197
S42 — Fracture of shoulder and upper arm,13 (0.6%),15 (0.9%),20 (0.8%),37 (1.0%),50 (0.8%),60 (0.7%),195
Z55,11 (0.5%),12 (0.7%),9 (0.4%),28 (0.7%),49 (0.8%),85 (1.0%),194
Y84 — Other medical procedures as the cause of abnormal reaction of the patient,18 (0.8%),13 (0.8%),23 (1.0%),27 (0.7%),49 (0.8%),64 (0.7%),194
E11 — Non-insulin-dependent diabetes mellitus,19 (0.8%),10 (0.6%),22 (0.9%),40 (1.0%),35 (0.5%),66 (0.8%),192
F63 — Habit and impulse disorders,20 (0.9%),13 (0.8%),9 (0.4%),22 (0.6%),46 (0.7%),82 (0.9%),192
J44,11 (0.5%),11 (0.7%),15 (0.6%),30 (0.8%),55 (0.9%),66 (0.8%),188
Q21,23 (1.0%),15 (0.9%),26 (1.1%),27 (0.7%),45 (0.7%),50 (0.6%),186
K21 — Gastro-oesophageal reflux disease,32 (1.4%),22 (1.4%),13 (0.5%),30 (0.8%),34 (0.5%),54 (0.6%),185
Z83,13 (0.6%),12 (0.7%),16 (0.7%),22 (0.6%),51 (0.8%),71 (0.8%),185
E16,7 (0.3%),10 (0.6%),13 (0.5%),32 (0.8%),47 (0.7%),75 (0.9%),184
N18,15 (0.6%),8 (0.5%),19 (0.8%),25 (0.6%),43 (0.7%),74 (0.8%),184
R06 — Abnormalities of breathing,11 (0.5%),10 (0.6%),35 (1.5%),37 (1.0%),34 (0.5%),56 (0.6%),183
"X60 — Intentional self-poisoning by nonopioid analgesics, antipyretics and antirheumatics",6 (0.3%),2 (0.1%),14 (0.6%),26 (0.7%),47 (0.7%),85 (1.0%),180
T85,9 (0.4%),14 (0.9%),32 (1.4%),27 (0.7%),46 (0.7%),49 (0.6%),177
A41,17 (0.7%),21 (1.3%),20 (0.8%),18 (0.5%),41 (0.6%),59 (0.7%),176
F39,8 (0.3%),9 (0.6%),10 (0.4%),20 (0.5%),47 (0.7%),82 (0.9%),176
T31,12 (0.5%),12 (0.7%),18 (0.8%),22 (0.6%),44 (0.7%),68 (0.8%),176
Q85,26 (1.1%),11 (0.7%),15 (0.6%),20 (0.5%),43 (0.7%),59 (0.7%),174
H52 — Disorders of refraction and accommodation,11 (0.5%),9 (0.6%),19 (0.8%),26 (0.7%),42 (0.7%),67 (0.8%),174
F06 — Other mental disorders due to brain damage and dysfunction and to physical disease,19 (0.8%),20 (1.2%),15 (0.6%),18 (0.5%),40 (0.6%),61 (0.7%),173
G41 — Status epilepticus,14 (0.6%),17 (1.1%),16 (0.7%),27 (0.7%),44 (0.7%),47 (0.5%),165
