Panel,Series,Code,Definition era,Measure,Year,Value,Unit,Reporting establishments,Stable-panel establishments,Stable-panel total
f,P6 Primary care: strict autism,P6241010,2021–2025,December stock,2025,"21,843",people under control (stock),"1,274",353,"11,783"
f,P6 Specialty: strict autism,P6241060,2021–2025,December stock,2021,"3,562",people under control (stock),95,68,"3,027"
f,P6 Specialty: strict autism,P6241060,2021–2025,December stock,2022,"4,684",people under control (stock),113,68,"3,754"
f,P6 Specialty: strict autism,P6241060,2021–2025,December stock,2023,"7,982",people under control (stock),129,68,"5,913"
f,P6 Specialty: strict autism,P6241060,2021–2025,December stock,2024,"8,835",people under control (stock),144,68,"5,733"
f,P6 Specialty: strict autism,P6241060,2021–2025,December stock,2025,"12,645",people under control (stock),153,68,"8,369"
f,P6 Primary care: PDD family,P6241010+P6241020+P6241040+P6241050,2021–2025,December stock,2021,"6,237",people under control (stock),815,619,"5,532"
f,P6 Primary care: PDD family,P6241010+P6241020+P6241040+P6241050,2021–2025,December stock,2022,"10,298",people under control (stock),948,619,"8,685"
f,P6 Primary care: PDD family,P6241010+P6241020+P6241040+P6241050,2021–2025,December stock,2023,"14,895",people under control (stock),"1,103",619,"12,425"
f,P6 Primary care: PDD family,P6241010+P6241020+P6241040+P6241050,2021–2025,December stock,2024,"20,911",people under control (stock),"1,258",619,"16,515"
f,P6 Primary care: PDD family,P6241010+P6241020+P6241040+P6241050,2021–2025,December stock,2025,"27,319",people under control (stock),"1,344",619,"21,144"
f,P6 Specialty: PDD family,P6241060+P6241070+P6241090+P6241100,2021–2025,December stock,2021,"9,163",people under control (stock),132,105,"7,170"
f,P6 Specialty: PDD family,P6241060+P6241070+P6241090+P6241100,2021–2025,December stock,2022,"10,719",people under control (stock),134,105,"9,113"
f,P6 Specialty: PDD family,P6241060+P6241070+P6241090+P6241100,2021–2025,December stock,2023,"13,653",people under control (stock),148,105,"11,100"
f,P6 Specialty: PDD family,P6241060+P6241070+P6241090+P6241100,2021–2025,December stock,2024,"15,304",people under control (stock),158,105,"11,161"
f,P6 Specialty: PDD family,P6241060+P6241070+P6241090+P6241100,2021–2025,December stock,2025,"20,365",people under control (stock),169,105,"14,951"
