Variable,Category,2019,2020,2021,2022,2023,2024,All GRD episodes 2024
NACIONALIDAD,CANADA,1 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),27 (0.0%)
NACIONALIDAD,BRAZIL,1 (0.0%),0 (0.0%),1 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),267 (0.0%)
NACIONALIDAD,GREECE,0 (0.0%),0 (0.0%),2 (0.1%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%)
NACIONALIDAD,SPAIN,1 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),94 (0.0%)
NACIONALIDAD,URUGUAY,0 (0.0%),1 (0.1%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),78 (0.0%)
NACIONALIDAD,DOMINICAN REPUBLIC,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),762 (0.1%)
NACIONALIDAD,NICARAGUA,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),0 (0.0%),16 (0.0%)
NACIONALIDAD,AMERICAS,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),24 (0.0%)
NACIONALIDAD,HONDURAS,1 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),16 (0.0%)
NACIONALIDAD,UNITED STATES OF AMERICA,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),86 (0.0%)
NACIONALIDAD,ARGENTINA,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),968 (0.1%)
NACIONALIDAD,EL SALVADOR,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),16 (0.0%)
NACIONALIDAD,CROATIA,0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
NACIONALIDAD,CHINA,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),0 (0.0%),175 (0.0%)
NACIONALIDAD,CHAD,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),16 (0.0%)
NACIONALIDAD,AFRICA,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),11 (0.0%)
ETNIA,NONE,"1,678 (71.9%)","1,402 (87.1%)","2,297 (97.0%)",0 (0.0%),0 (0.0%),"8,529 (97.7%)","1,058,981 (97.5%)"
ETNIA,OTHER,619 (26.5%),178 (11.1%),36 (1.5%),"3,810 (98.7%)","6,310 (98.2%)",0 (0.0%),0 (0.0%)
ETNIA,MAPUCHE,23 (1.0%),26 (1.6%),21 (0.9%),38 (1.0%),88 (1.4%),160 (1.8%),"20,494 (1.9%)"
ETNIA,AYMARA,0 (0.0%),3 (0.2%),13 (0.5%),9 (0.2%),18 (0.3%),32 (0.4%),"2,637 (0.2%)"
ETNIA,NONE,14 (0.6%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
ETNIA,DIAGUITA,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),2 (0.0%),5 (0.1%),"1,106 (0.1%)"
ETNIA,YAGÁN (YÁMANA),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),2 (0.0%),1 (0.0%),276 (0.0%)
ETNIA,RAPA NUI (PASCUENSE),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),1 (0.0%),1 (0.0%),"1,339 (0.1%)"
ETNIA,LICAN ANTAI (ATACAMEÑO),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),1 (0.0%),158 (0.0%)
ETNIA,QUECHUA,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),1 (0.0%),403 (0.0%)
ETNIA,KAWÉSQAR,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),1 (0.0%),250 (0.0%)
IR_29301_SEVERIDAD,1,"1,127 (48.3%)",785 (48.8%),"1,112 (47.0%)","1,785 (46.3%)","2,817 (43.9%)","3,656 (41.9%)","387,258 (35.7%)"
IR_29301_SEVERIDAD,2,527 (22.6%),449 (27.9%),631 (26.7%),947 (24.5%),"1,534 (23.9%)","2,174 (24.9%)","268,865 (24.8%)"
