Source,File,Manifest,Manifest SHA-256 (12),Observed SHA-256 (12),SHA match,Manifest bytes,Observed bytes,Bytes match,Manifest date,Manifest note
fonasa_aggregates,Resultados_202512.zip,Autism/metadata/download_manifest.csv,ae0528cf28e7,ae0528cf28e7,Yes,"1,164,600","1,164,600",Yes,2026-09-04,status=downloaded; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Resultados%20Beneficiarios%20202512.zip
fonasa_dictionary,Diccionario_beneficiarios.xlsx,Autism/metadata/download_manifest.csv,97d760d07487,97d760d07487,Yes,"9,855","9,855",Yes,2026-09-04,status=adopted; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Diccionario%20beneficiarios.xlsx
fonasa_dictionary,Diccionario_beneficiarios.xlsx,FONASA/metadata/source_manifest.csv,97d760d07487,97d760d07487,Yes,"9,855","9,855",Yes,no date,no date in manifest (consolidated 2026-09-02 per data-root README)
fonasa_aps,Inscritos_APS_201912.csv,Autism/metadata/download_manifest.csv,55a09b2f1ab6,55a09b2f1ab6,Yes,"12,586,641","12,586,641",Yes,2026-09-04,status=downloaded; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Inscritos%20APS%202019%2012.csv
fonasa_aps,Inscritos_APS_202012.csv,Autism/metadata/download_manifest.csv,5c32f5e7bc06,5c32f5e7bc06,Yes,"12,799,665","12,799,665",Yes,2026-09-04,status=downloaded; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Inscritos%20APS%202020%2012.csv
fonasa_aps,Inscritos_APS_202112.csv,Autism/metadata/download_manifest.csv,fdab9f91e9a1,fdab9f91e9a1,Yes,"13,406,176","13,406,176",Yes,2026-09-04,status=downloaded; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Inscritos%20APS%202021%2012.csv
fonasa_aps,Inscritos_APS_202212.csv,Autism/metadata/download_manifest.csv,a29a25be5bf9,a29a25be5bf9,Yes,"13,965,785","13,965,785",Yes,2026-09-04,status=downloaded; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Inscritos%20APS%202022%2012.csv
fonasa_aps,Inscritos_APS_202312.csv,Autism/metadata/download_manifest.csv,be9ae603a990,be9ae603a990,Yes,"14,533,432","14,533,432",Yes,2026-09-04,status=downloaded; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Inscritos%20APS%202023%2012.csv
fonasa_aps,Inscritos_APS_202412.csv,Autism/metadata/download_manifest.csv,412428ecff91,412428ecff91,Yes,"21,694,386","21,694,386",Yes,2026-09-04,status=downloaded; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Inscritos%20APS%202024%2012.csv
fonasa_aps,Inscritos_APS_202512.csv,Autism/metadata/download_manifest.csv,83fcc4c18591,83fcc4c18591,Yes,"22,087,855","22,087,855",Yes,2026-09-04,status=downloaded; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Inscritos%20APS%202025%2012.csv
isapre_communal,isapre_beneficiarios_comuna_2019.xls,Autism/metadata/download_manifest.csv,13a84bcd0f3a,13a84bcd0f3a,Yes,"9,675,776","9,675,776",Yes,2026-09-04,status=downloaded; source_url=https://www.superdesalud.gob.cl/app/uploads/2020/05/articles-19431_recurso_1.xls
isapre_communal,isapre_beneficiarios_comuna_2020.xls,Autism/metadata/download_manifest.csv,8b7a0b005be4,8b7a0b005be4,Yes,"9,940,992","9,940,992",Yes,2026-09-04,status=downloaded; source_url=https://www.superdesalud.gob.cl/app/uploads/2021/05/articles-20029_recurso_1.xls
isapre_communal,isapre_beneficiarios_comuna_2021.xlsx,Autism/metadata/download_manifest.csv,489fdfa09803,489fdfa09803,Yes,"794,774","794,774",Yes,2026-09-04,status=downloaded; source_url=https://www.superdesalud.gob.cl/app/uploads/2022/04/articles-20939_recurso_1.xlsx
isapre_communal,isapre_beneficiarios_comuna_2022.xlsx,Autism/metadata/download_manifest.csv,54fe5531212e,54fe5531212e,Yes,"793,021","793,021",Yes,2026-09-04,status=downloaded; source_url=https://www.superdesalud.gob.cl/app/uploads/2023/01/articles-22450_recurso_1.xlsx
isapre_communal,isapre_beneficiarios_comuna_2023.xlsx,Autism/metadata/download_manifest.csv,cfe49de4eb47,cfe49de4eb47,Yes,"796,762","796,762",Yes,2026-09-04,status=downloaded; source_url=https://www.superdesalud.gob.cl/app/uploads/2024/03/articles-26610_recurso_1.xlsx
isapre_communal,isapre_beneficiarios_comuna_2024.xlsx,Autism/metadata/download_manifest.csv,5dc99d0805a0,5dc99d0805a0,Yes,"798,123","798,123",Yes,2026-09-04,status=downloaded; source_url=https://www.superdesalud.gob.cl/app/uploads/2025/01/estadistica-anual-de-cartera-de-beneficiarios-comunal-2024.xlsx
