File,Rows,Number of columns,Unit,Declared denominator,Geography,Producing script,Columns
deis_age_sex_year.csv,454,18,n/e,n/e,n/e,01b_deis_egresos.py|08c_figures_triangulation.py|13_extra_figures_hospital.py|15_extra_figures_context.py,year|source_layout|variant|level|sex|age_band_10|discharges_total|f84_diag1|f84_diag2|f84_any|f84_deaths|rate_per_100k_discharges|rate_lo95|rate_hi95|age_scheme_source|age_band_definition|unit_count|unit_rate
deis_age_sex_year_detail.csv,472,19,n/e,n/e,n/e,01b_deis_egresos.py,year|source_layout|age_scheme|sex|age_group_raw|age_band_10|age_group_who|variant|discharges_total|f84_diag1|f84_diag2|f84_any|f84_both_positions|f84_deaths|rate_per_100k_discharges|rate_lo95|rate_hi95|unit_count|unit_rate
deis_age_who_year.csv,268,16,n/e,n/e,n/e,01b_deis_egresos.py|08c_figures_triangulation.py,year|source_layout|variant|level|sex|age_group_who|discharges_total|f84_diag1|f84_any|f84_deaths|rate_per_100k_discharges|rate_lo95|rate_hi95|age_group_definition|unit_count|unit_rate
deis_cell_counts.csv,"5,334",16,discharges (DEIS records),n/e,n/e,01b_deis_egresos.py,year|source_layout|source_file|pertenencia|sex|age_scheme|age_group_raw|age_band_10|age_group_who|prevision|f84_diag1_code|f84_diag2_code|condicion_egreso|ano_egreso_raw|discharges|unit
deis_columns_inventory.csv,118,8,n/e,n/e,n/e,01b_deis_egresos.py,year|source_layout|source_file|position|column_name|column_std|core|note
deis_establishment_year.csv,312,17,n/e,n/e,n/e,01b_deis_egresos.py|08c_figures_triangulation.py|13_extra_figures_hospital.py,year|source_layout|variant|dimension|category|discharges_total|f84_diag1|f84_any|f84_deaths|share_of_discharges|share_of_f84|rate_per_100k_discharges|rate_lo95|rate_hi95|category_definition|unit_count|unit_rate
deis_f84_subcode_year.csv,43,7,discharges carrying the subcode in DIAG1 (DEIS records),n/e,n/e,01b_deis_egresos.py|13_extra_figures_hospital.py,year|f84_diag1_code|discharges_f84_diag1|share_of_f84_any_con_rett|icd10_label_deis|in_variant_sin_rett|unit
deis_file_integrity.csv,7,19,n/e,n/e,n/e,01b_deis_egresos.py,year|source_layout|source_file|size_bytes|sha256|newlines|carriage_returns|quotes|utf8_multibyte_pairs|high_bytes|rows_read|extra_field_rows|short_rows|n_columns_file|n_columns_core|encoding|delimiter|line_terminator|age_scheme
deis_vs_grd_year.csv,18,38,n/e,n/e,n/e,01b_deis_egresos.py|08c_figures_triangulation.py|09b_tables_supplementary.py|13_extra_figures_hospital.py,year|variant|variant_definition|deis_discharges_total|deis_discharges_snss|deis_f84_principal|deis_f84_principal_snss|deis_f84_principal_no_snss|deis_f84_principal_suppressed|deis_rate_f84_principal_per_100k_discharges|deis_rate_lo95|deis_rate_hi95|grd_records_total|grd_f84_any|grd_f84_principal|grd_f84_secondary_only|grd_hospitals_observed|grd_records_total_fixed65|grd_f84_any_fixed65|grd_f84_principal_fixed65|grd_records_hospitalisation|grd_f84_any_hospitalisation|grd_f84_principal_hospitalisation|grd_records_hospitalisation_fixed65|grd_f84_any_hospitalisation_fixed65|grd_f84_principal_hospitalisation_fixed65|grd_source|grd_rate_f84_any_per_100k_episodes|grd_rate_f84_principal_per_100k_episodes|grd_rate_f84_principal_hospitalisation_per_100k_episodes|ratio_deis_total_to_grd_total|ratio_deis_f84_principal_to_grd_f84_principal|ratio_deis_f84_principal_snss_to_grd_f84_principal|ratio_deis_f84_principal_snss_to_grd_f84_principal_hospitalisation|ratio_grd_f84_any_to_deis_f84_principal|unit_deis|unit_grd|comparability_note
deis_year_summary.csv,14,37,n/e,n/e,n/e,01b_deis_egresos.py|06_models.py|08a_figures_grd.py|08c_figures_triangulation.py|08d_figure_dataflow.py|09b_tables_supplementary.py|13_extra_figures_hospital.py|15_extra_figures_context.py,year|source_layout|variant|variant_definition|discharges_total|f84_diag1|f84_diag2|f84_any|f84_both_positions|f84_principal_only|f84_secondary_only|f84_principal_share|f84_secondary_only_share|f84_rett_f842_diag1|f84_deaths|rate_per_100k_discharges|rate_lo95|rate_hi95|discharges_snss|discharges_no_snss|discharges_suppressed|f84_any_snss|f84_any_no_snss|f84_any_suppressed|masked_rows_share|file_lines_minus_header|extra_field_rows|n_columns_file|n_columns_core|age_scheme|diagnosis_positions|diag2_definition|unit_count|unit_rate|source_file|sha256|size_bytes
