region,comuna,comuna_norm,hospitalizations,asr
Ñuble,NINHUE,NINHUE,9,560.52
Ñuble,ÑIQUÉN,NIQUEN,19,507.95
Ñuble,PEMUCO,PEMUCO,10,307.53
Ñuble,PINTO,PINTO,12,275.7
Ñuble,PORTEZUELO,PORTEZUELO,6,349.92
Ñuble,QUILLÓN,QUILLON,25,405.42
Ñuble,QUIRIHUE,QUIRIHUE,14,347.06
Ñuble,RÁNQUIL,RANQUIL,7,367.94
Ñuble,SAN CARLOS,SAN CARLOS,200,962.95
Ñuble,SAN FABIÁN,SAN FABIAN,9,614.33
Ñuble,SAN IGNACIO,SAN IGNACIO,17,280.87
Ñuble,SAN NICOLÁS,SAN NICOLAS,38,910.9
Ñuble,TREGUACO,TREGUACO,10,487.11
Ñuble,YUNGAY,YUNGAY,31,447.21
