year,age_group,sex,icd_code,hospitalizations
2020,15-19,Male,F84.9,11
2020,15-19,Male,F89,6
2020,15-19,Male,F90.0,76
2020,15-19,Male,F90.1,4
2020,15-19,Male,F90.8,1
2020,15-19,Male,F90.9,5
2020,20-24,Female,F80,2
2020,20-24,Female,F81,2
2020,20-24,Female,F83,1
2020,20-24,Female,F84.0,5
2020,20-24,Female,F84.1,1
2020,20-24,Female,F84.5,4
2020,20-24,Female,F84.8,1
2020,20-24,Female,F84.9,1
2020,20-24,Female,F90.0,2
2020,20-24,Male,F80,1
2020,20-24,Male,F81,1
2020,20-24,Male,F82,3
2020,20-24,Male,F83,1
2020,20-24,Male,F84.0,32
2020,20-24,Male,F84.1,7
2020,20-24,Male,F84.5,9
2020,20-24,Male,F84.8,3
2020,20-24,Male,F84.9,5
2020,20-24,Male,F90.0,10
2020,25-29,Female,F80,2
2020,25-29,Female,F81,1
2020,25-29,Female,F82,1
2020,25-29,Female,F84.0,5
2020,25-29,Female,F84.1,1
2020,25-29,Female,F84.2,1
2020,25-29,Female,F84.5,6
2020,25-29,Female,F84.8,2
2020,25-29,Female,F89,2
2020,25-29,Male,F80,5
2020,25-29,Male,F84.0,13
2020,25-29,Male,F84.1,4
2020,25-29,Male,F84.4,1
2020,25-29,Male,F84.5,8
2020,25-29,Male,F84.9,4
2020,25-29,Male,F89,2
2020,25-29,Male,F90.0,3
2020,25-29,Male,F90.1,1
2020,30-34,Female,F80,1
2020,30-34,Female,F81,1
2020,30-34,Female,F84.0,6
2020,30-34,Female,F84.1,1
2020,30-34,Female,F84.2,2
2020,30-34,Female,F89,1
2020,30-34,Female,F90.0,1
2020,30-34,Male,F80,1
2020,30-34,Male,F84.0,14
2020,30-34,Male,F84.1,4
2020,30-34,Male,F84.5,5
2020,30-34,Male,F84.8,3
2020,30-34,Male,F84.9,1
2020,30-34,Male,F89,1
2020,30-34,Male,F90.0,3
2020,35-39,Female,F80,1
2020,35-39,Female,F81,1
2020,35-39,Female,F84.0,4
2020,35-39,Female,F84.1,2
2020,35-39,Female,F84.9,1
2020,35-39,Male,F80,2
2020,35-39,Male,F82,1
2020,35-39,Male,F84.0,4
2020,35-39,Male,F84.1,3
2020,35-39,Male,F84.5,3
2020,35-39,Male,F84.8,1
2020,35-39,Male,F84.9,1
2020,35-39,Male,F89,1
2020,35-39,Male,F90.0,2
2020,40-44,Female,F80,3
2020,40-44,Female,F81,1
2020,40-44,Female,F84.0,3
2020,40-44,Female,F84.9,1
2020,40-44,Female,F90.0,1
2020,40-44,Male,F80,2
2020,40-44,Male,F84.0,4
2020,40-44,Male,F84.1,2
2020,40-44,Male,F84.8,1
2020,40-44,Male,F84.9,2
2020,45-49,Female,F80,2
2020,45-49,Female,F84.5,1
2020,45-49,Female,F89,1
2020,45-49,Male,F80,4
2020,45-49,Male,F83,1
2020,45-49,Male,F84.0,2
2020,45-49,Male,F84.8,1
2020,45-49,Male,F90.9,1
2020,5-9,Female,F80,63
2020,5-9,Female,F81,9
2020,5-9,Female,F82,38
2020,5-9,Female,F83,17
2020,5-9,Female,F84.0,85
2020,5-9,Female,F84.1,2
2020,5-9,Female,F84.2,10
2020,5-9,Female,F84.5,9
2020,5-9,Female,F84.8,7
2020,5-9,Female,F84.9,11
2020,5-9,Female,F89,1
2020,5-9,Female,F90.0,33
2020,5-9,Female,F90.1,2
2020,5-9,Female,F90.9,4
2020,5-9,Male,F80,133
2020,5-9,Male,F81,7
2020,5-9,Male,F82,23
2020,5-9,Male,F83,20
2020,5-9,Male,F84.0,251
2020,5-9,Male,F84.1,8
2020,5-9,Male,F84.2,1
2020,5-9,Male,F84.3,1
2020,5-9,Male,F84.4,2
2020,5-9,Male,F84.5,30
2020,5-9,Male,F84.8,8
2020,5-9,Male,F84.9,19
2020,5-9,Male,F89,6
2020,5-9,Male,F90.0,150
2020,5-9,Male,F90.1,6
2020,5-9,Male,F90.9,6
2020,50-54,Female,F80,4
2020,50-54,Female,F89,1
2020,50-54,Female,F90.0,1
2020,50-54,Male,F80,2
2020,50-54,Male,F82,1
2020,50-54,Male,F83,1
2020,50-54,Male,F84.0,1
2020,50-54,Male,F90.0,1
2020,55-59,Female,F80,3
2020,55-59,Female,F84.5,1
2020,55-59,Female,F89,1
2020,55-59,Female,F90.8,1
2020,55-59,Male,F80,8
2020,55-59,Male,F81,1
2020,55-59,Male,F83,1
2020,55-59,Male,F84.5,1
2020,55-59,Male,F84.9,1
2020,60-64,Female,F80,5
2020,60-64,Female,F84.0,1
2020,60-64,Female,F89,1
2020,60-64,Male,F80,7
2020,60-64,Male,F81,1
2020,60-64,Male,F84.9,1
2020,65-69,Female,F80,4
2020,65-69,Male,F80,7
2020,65-69,Male,F81,1
2020,65-69,Male,F84.0,1
2020,65-69,Male,F90.9,1
2020,70-74,Female,F80,2
2020,70-74,Female,F84.0,1
2020,70-74,Male,F80,7
2020,70-74,Male,F81,1
2020,70-74,Male,F84.8,1
2020,75-79,Female,F80,4
2020,75-79,Female,F84.8,1
2020,75-79,Female,F90.0,1
2020,75-79,Male,F80,8
2020,75-79,Male,F82,2
2020,80+,Female,F80,7
2020,80+,Male,F80,6
2020,80+,Male,F84.9,1
2021,0-4,Female,F80,90
2021,0-4,Female,F81,4
2021,0-4,Female,F82,77
2021,0-4,Female,F83,98
2021,0-4,Female,F84.0,77
2021,0-4,Female,F84.1,3
2021,0-4,Female,F84.2,5
2021,0-4,Female,F84.3,2
2021,0-4,Female,F84.8,6
2021,0-4,Female,F84.9,12
2021,0-4,Female,F88,1
2021,0-4,Female,F89,2
2021,0-4,Female,F90.0,4
2021,0-4,Male,F80,203
2021,0-4,Male,F81,5
2021,0-4,Male,F82,103
2021,0-4,Male,F83,103
2021,0-4,Male,F84.0,261
2021,0-4,Male,F84.1,12
2021,0-4,Male,F84.3,1
2021,0-4,Male,F84.4,1
2021,0-4,Male,F84.5,3
2021,0-4,Male,F84.8,10
2021,0-4,Male,F84.9,28
2021,0-4,Male,F88,1
2021,0-4,Male,F89,9
2021,0-4,Male,F90.0,16
2021,0-4,Male,F90.1,2
2021,0-4,Male,F90.9,8
2021,10-14,Female,F80,20
2021,10-14,Female,F81,21
2021,10-14,Female,F82,13
2021,10-14,Female,F83,10
2021,10-14,Female,F84.0,142
2021,10-14,Female,F84.1,7
2021,10-14,Female,F84.2,13
2021,10-14,Female,F84.4,2
2021,10-14,Female,F84.5,12
2021,10-14,Female,F84.8,6
2021,10-14,Female,F84.9,8
2021,10-14,Female,F88,3
2021,10-14,Female,F89,12
2021,10-14,Female,F90.0,108
2021,10-14,Female,F90.1,3
2021,10-14,Female,F90.8,1
2021,10-14,Female,F90.9,9
2021,10-14,Male,F80,67
2021,10-14,Male,F81,22
2021,10-14,Male,F82,15
2021,10-14,Male,F83,18
2021,10-14,Male,F84.0,356
2021,10-14,Male,F84.1,7
2021,10-14,Male,F84.4,1
2021,10-14,Male,F84.5,52
2021,10-14,Male,F84.8,12
2021,10-14,Male,F84.9,24
2021,10-14,Male,F88,1
2021,10-14,Male,F89,5
2021,10-14,Male,F90.0,241
2021,10-14,Male,F90.1,5
2021,10-14,Male,F90.9,14
2021,15-19,Female,F80,8
2021,15-19,Female,F81,20
2021,15-19,Female,F82,3
2021,15-19,Female,F83,5
2021,15-19,Female,F84.0,65
